种类,类别,面积,百分比,备注
住宅,私人住宅,28,2.5,包括私人发展商发展的住宅用地(乡郊居所、资助房屋和过渡性房屋除外)
住宅,公营房屋,18,1.6,包括资助房屋和过渡性房屋
住宅,乡郊居所,35,3.1,包括村屋和临时搭建物
商业,商业／商贸和办公室,5,0.5,
工业,工业用地,6,0.5,
工业,工业邨／科技园,3,0.3,
工业,货仓和露天贮物,17,1.5,
机构／休憩,政府、机构和小区设施,26,2.3,
机构／休憩,休憩和康乐,28,2.5,包括公园、运动场、游乐场和康乐设施
运输,道路和运输设施,47,4.2,
运输,铁路,4,0.4,
运输,机场,17,1.5,
运输,港口设施,4,0.4,
其他都市或已建设土地,坟场/殡殓设施,9,0.8,
其他都市或已建设土地,公用事业设施,9,0.8,
其他都市或已建设土地,空置／正在进行建筑工程的土地,20,1.8,
其他都市或已建设土地,其他,12,1.1,
农业,农地,47,4.2,
农业,鱼塘／基围,16,1.4,
林地／灌丛／草地／湿地,林地,334,29.8,
林地／灌丛／草地／湿地,灌丛,184,16.4,
林地／灌丛／草地／湿地,草地,206,18.4,
林地／灌丛／草地／湿地,红树林／沼泽,6,0.6,包括高水位线下约四平方公里的红树林和沼泽
荒地,劣地,3,0.3,
荒地,岩岸,4,0.4,
水体,水塘,25,2.2,
水体,河道和明渠,6,0.5,
