candidate_priority,existing_pilot_grid_output,contains_sample_0016,pair_id,image_id,sample_number,site_group,capture_date,dataset_folder,session_folder,v_path,t_path,match_method,timestamp_difference_seconds,visible_capture_datetime,thermal_capture_datetime,thermal_gps_latitude,thermal_gps_longitude,thermal_relative_altitude,visible_image_width,visible_image_height,thermal_image_width,thermal_image_height,visible_footprint_status,thermal_footprint_status,qa_status,notes
high,yes,no,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,0005,HKUST,2026-01-07,20260107_Thermal_HKUST,DJI_202601071424_001,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_V.JPG,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,exact_base_name,0,2026-01-07 14:32:59,2026-01-07 14:32:59,22.340113888888887,114.263325,399.28,4032.0,3024.0,640.0,512.0,ok,ok,candidate_only_no_visual_QA,Prioritized from existing inventory/metadata only; final pilot selection requires visual QA and Part B alignment review.
high,yes,no,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,0007,HKUST,2026-01-07,20260107_Thermal_HKUST,DJI_202601071424_001,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143320_0007_V.JPG,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143320_0007_T.JPG,exact_base_name,0,2026-01-07 14:33:20,2026-01-07 14:33:20,22.338783333333332,114.26330555555556,400.098,4032.0,3024.0,640.0,512.0,ok,ok,candidate_only_no_visual_QA,Prioritized from existing inventory/metadata only; final pilot selection requires visual QA and Part B alignment review.
high,yes,no,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143328_0008,DJI_20260107143328_0008,0008,HKUST,2026-01-07,20260107_Thermal_HKUST,DJI_202601071424_001,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143328_0008_V.JPG,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143328_0008_T.JPG,exact_base_name,0,2026-01-07 14:33:28,2026-01-07 14:33:28,22.338366666666666,114.2633,400.275,4032.0,3024.0,640.0,512.0,ok,ok,candidate_only_no_visual_QA,Prioritized from existing inventory/metadata only; final pilot selection requires visual QA and Part B alignment review.
high,yes,no,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,0009,HKUST,2026-01-07,20260107_Thermal_HKUST,DJI_202601071424_001,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143344_0009_V.JPG,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143344_0009_T.JPG,exact_base_name,0,2026-01-07 14:33:44,2026-01-07 14:33:44,22.337699999999998,114.2632888888889,400.667,4032.0,3024.0,640.0,512.0,ok,ok,candidate_only_no_visual_QA,Prioritized from existing inventory/metadata only; final pilot selection requires visual QA and Part B alignment review.
high,yes,no,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,DJI_20260107143401_0011,0011,HKUST,2026-01-07,20260107_Thermal_HKUST,DJI_202601071424_001,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143401_0011_V.JPG,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143401_0011_T.JPG,exact_base_name,0,2026-01-07 14:34:01,2026-01-07 14:34:01,22.336647222222222,114.26327222222223,400.791,4032.0,3024.0,640.0,512.0,ok,ok,candidate_only_no_visual_QA,Prioritized from existing inventory/metadata only; final pilot selection requires visual QA and Part B alignment review.
high,no,yes,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143435_0016,DJI_20260107143435_0016,0016,HKUST,2026-01-07,20260107_Thermal_HKUST,DJI_202601071424_001,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143435_0016_V.JPG,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143435_0016_T.JPG,exact_base_name,0,2026-01-07 14:34:35,2026-01-07 14:34:35,22.334391666666665,114.26324166666667,401.675,4032.0,3024.0,640.0,512.0,ok,ok,candidate_only_no_visual_QA,Prioritized from existing inventory/metadata only; final pilot selection requires visual QA and Part B alignment review.
high,no,yes,20260107_Thermal_HKUST/DCIM/DJI_202601071453_002::DJI_20260107150654_0016,DJI_20260107150654_0016,0016,HKUST,2026-01-07,20260107_Thermal_HKUST,DJI_202601071453_002,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071453_002/DJI_20260107150654_0016_V.JPG,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071453_002/DJI_20260107150654_0016_T.JPG,exact_base_name,0,2026-01-07 15:06:54,2026-01-07 15:06:54,22.337533333333333,114.26295833333333,296.053,4096.0,3072.0,640.0,512.0,ok,ok,candidate_only_no_visual_QA,Prioritized from existing inventory/metadata only; final pilot selection requires visual QA and Part B alignment review.
high,no,yes,20260109_Thermal_HKUST/DCIM/DJI_202601091403_001::DJI_20260109141356_0016,DJI_20260109141356_0016,0016,HKUST,2026-01-09,20260109_Thermal_HKUST,DJI_202601091403_001,data/raw/HKUST/20260109_Thermal_HKUST/DCIM/DJI_202601091403_001/DJI_20260109141356_0016_V.JPG,data/raw/HKUST/20260109_Thermal_HKUST/DCIM/DJI_202601091403_001/DJI_20260109141356_0016_T.JPG,exact_base_name,0,2026-01-09 14:13:56,2026-01-09 14:13:56,22.333969444444442,114.26345833333333,449.878,4032.0,3024.0,640.0,512.0,ok,ok,candidate_only_no_visual_QA,Prioritized from existing inventory/metadata only; final pilot selection requires visual QA and Part B alignment review.
high,no,yes,20260202_Thermal_HKUST/DCIM/DJI_202602020853_001::DJI_20260202090442_0016,DJI_20260202090442_0016,0016,HKUST,2026-02-02,20260202_Thermal_HKUST,DJI_202602020853_001,data/raw/HKUST/20260202_Thermal_HKUST/DCIM/DJI_202602020853_001/DJI_20260202090442_0016_V.JPG,data/raw/HKUST/20260202_Thermal_HKUST/DCIM/DJI_202602020853_001/DJI_20260202090442_0016_T.JPG,exact_base_name,0,2026-02-02 09:04:42,2026-02-02 09:04:42,22.33615,114.263925,497.221,4096.0,3072.0,640.0,512.0,ok,ok,candidate_only_no_visual_QA,Prioritized from existing inventory/metadata only; final pilot selection requires visual QA and Part B alignment review.
high,no,yes,20260202_Thermal_HKUST/DCIM/DJI_202602020954_002::DJI_20260202100135_0016,DJI_20260202100135_0016,0016,HKUST,2026-02-02,20260202_Thermal_HKUST,DJI_202602020954_002,data/raw/HKUST/20260202_Thermal_HKUST/DCIM/DJI_202602020954_002/DJI_20260202100135_0016_V.JPG,data/raw/HKUST/20260202_Thermal_HKUST/DCIM/DJI_202602020954_002/DJI_20260202100135_0016_T.JPG,exact_base_name,0,2026-02-02 10:01:35,2026-02-02 10:01:35,22.332925,114.26289444444444,499.929,4032.0,3024.0,640.0,512.0,ok,ok,candidate_only_no_visual_QA,Prioritized from existing inventory/metadata only; final pilot selection requires visual QA and Part B alignment review.
high,no,yes,20260202_Thermal_HKUST/DCIM/DJI_202602021145_004::DJI_20260202115409_0016,DJI_20260202115409_0016,0016,HKUST,2026-02-02,20260202_Thermal_HKUST,DJI_202602021145_004,data/raw/HKUST/20260202_Thermal_HKUST/DCIM/DJI_202602021145_004/DJI_20260202115409_0016_V.JPG,data/raw/HKUST/20260202_Thermal_HKUST/DCIM/DJI_202602021145_004/DJI_20260202115409_0016_T.JPG,exact_base_name,0,2026-02-02 11:54:09,2026-02-02 11:54:09,22.331430555555556,114.26105833333334,499.022,4096.0,3072.0,640.0,512.0,ok,ok,candidate_only_no_visual_QA,Prioritized from existing inventory/metadata only; final pilot selection requires visual QA and Part B alignment review.
high,no,yes,20260202_Thermal_HKUST/DCIM/DJI_202602021352_006::DJI_20260202135942_0016,DJI_20260202135942_0016,0016,HKUST,2026-02-02,20260202_Thermal_HKUST,DJI_202602021352_006,data/raw/HKUST/20260202_Thermal_HKUST/DCIM/DJI_202602021352_006/DJI_20260202135942_0016_V.JPG,data/raw/HKUST/20260202_Thermal_HKUST/DCIM/DJI_202602021352_006/DJI_20260202135942_0016_T.JPG,exact_base_name,0,2026-02-02 13:59:42,2026-02-02 13:59:42,22.334633333333333,114.26196666666667,496.423,4096.0,3072.0,640.0,512.0,ok,ok,candidate_only_no_visual_QA,Prioritized from existing inventory/metadata only; final pilot selection requires visual QA and Part B alignment review.
high,no,yes,20260202_Thermal_HKUST/DCIM/DJI_202602021452_007::DJI_20260202150201_0016,DJI_20260202150201_0016,0016,HKUST,2026-02-02,20260202_Thermal_HKUST,DJI_202602021452_007,data/raw/HKUST/20260202_Thermal_HKUST/DCIM/DJI_202602021452_007/DJI_20260202150201_0016_V.JPG,data/raw/HKUST/20260202_Thermal_HKUST/DCIM/DJI_202602021452_007/DJI_20260202150201_0016_T.JPG,exact_base_name,0,2026-02-02 15:02:01,2026-02-02 15:02:01,22.329777777777778,114.26156666666667,498.363,4096.0,3072.0,640.0,512.0,ok,ok,candidate_only_no_visual_QA,Prioritized from existing inventory/metadata only; final pilot selection requires visual QA and Part B alignment review.
high,no,yes,20260202_Thermal_HKUST/DCIM/DJI_202602021556_008::DJI_20260202160636_0016,DJI_20260202160636_0016,0016,HKUST,2026-02-02,20260202_Thermal_HKUST,DJI_202602021556_008,data/raw/HKUST/20260202_Thermal_HKUST/DCIM/DJI_202602021556_008/DJI_20260202160636_0016_V.JPG,data/raw/HKUST/20260202_Thermal_HKUST/DCIM/DJI_202602021556_008/DJI_20260202160636_0016_T.JPG,exact_base_name,0,2026-02-02 16:06:36,2026-02-02 16:06:36,22.333691666666667,114.26810555555555,498.743,4096.0,3072.0,640.0,512.0,ok,ok,candidate_only_no_visual_QA,Prioritized from existing inventory/metadata only; final pilot selection requires visual QA and Part B alignment review.
high,no,yes,20260202_Thermal_HKUST/DCIM/DJI_202602021650_009::DJI_20260202165829_0016,DJI_20260202165829_0016,0016,HKUST,2026-02-02,20260202_Thermal_HKUST,DJI_202602021650_009,data/raw/HKUST/20260202_Thermal_HKUST/DCIM/DJI_202602021650_009/DJI_20260202165829_0016_V.JPG,data/raw/HKUST/20260202_Thermal_HKUST/DCIM/DJI_202602021650_009/DJI_20260202165829_0016_T.JPG,exact_base_name,0,2026-02-02 16:58:29,2026-02-02 16:58:29,22.332166666666666,114.26864444444445,500.005,4032.0,3024.0,640.0,512.0,ok,ok,candidate_only_no_visual_QA,Prioritized from existing inventory/metadata only; final pilot selection requires visual QA and Part B alignment review.
high,no,no,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143409_0012,DJI_20260107143409_0012,0012,HKUST,2026-01-07,20260107_Thermal_HKUST,DJI_202601071424_001,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143409_0012_V.JPG,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143409_0012_T.JPG,exact_base_name,0,2026-01-07 14:34:09,2026-01-07 14:34:09,22.336194444444445,114.26326666666667,400.909,4032.0,3024.0,640.0,512.0,ok,ok,candidate_only_no_visual_QA,Prioritized from existing inventory/metadata only; final pilot selection requires visual QA and Part B alignment review.
high,no,no,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143416_0013,DJI_20260107143416_0013,0013,HKUST,2026-01-07,20260107_Thermal_HKUST,DJI_202601071424_001,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143416_0013_V.JPG,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143416_0013_T.JPG,exact_base_name,0,2026-01-07 14:34:16,2026-01-07 14:34:16,22.33565833333333,114.26325833333334,401.131,4032.0,3024.0,640.0,512.0,ok,ok,candidate_only_no_visual_QA,Prioritized from existing inventory/metadata only; final pilot selection requires visual QA and Part B alignment review.
high,no,no,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143418_0014,DJI_20260107143418_0014,0014,HKUST,2026-01-07,20260107_Thermal_HKUST,DJI_202601071424_001,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143418_0014_V.JPG,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143418_0014_T.JPG,exact_base_name,0,2026-01-07 14:34:18,2026-01-07 14:34:18,22.335641666666664,114.26325833333334,401.168,4032.0,3024.0,640.0,512.0,ok,ok,candidate_only_no_visual_QA,Prioritized from existing inventory/metadata only; final pilot selection requires visual QA and Part B alignment review.
