pair_id,dataset_folder,location,capture_date,session_folder,base_name,sample_number,v_path,t_path,status,match_method,timestamp_difference_seconds,pilot,notes
20251210_GardenHill/DJI_202512081539_001::DJI_20251208154621_0001,20251210_GardenHill,GardenHill,2025-12-08,DJI_202512081539_001,DJI_20251208154621_0001,0001,data/raw/HKUST/20251210_GardenHill/DJI_202512081539_001/DJI_20251208154621_0001_V.JPG,data/raw/HKUST/20251210_GardenHill/DJI_202512081539_001/DJI_20251208154621_0001_T.JPG,paired,exact_base_name,0,no,
20251210_GardenHill/DJI_202512081539_001::DJI_20251208154625_0003,20251210_GardenHill,GardenHill,2025-12-08,DJI_202512081539_001,DJI_20251208154625_0003,0003,data/raw/HKUST/20251210_GardenHill/DJI_202512081539_001/DJI_20251208154625_0003_V.JPG,data/raw/HKUST/20251210_GardenHill/DJI_202512081539_001/DJI_20251208154625_0003_T.JPG,paired,exact_base_name,0,no,
20251210_GardenHill/DJI_202512081539_001::DJI_20251208154652_0004,20251210_GardenHill,GardenHill,2025-12-08,DJI_202512081539_001,DJI_20251208154652_0004,0004,data/raw/HKUST/20251210_GardenHill/DJI_202512081539_001/DJI_20251208154652_0004_V.JPG,data/raw/HKUST/20251210_GardenHill/DJI_202512081539_001/DJI_20251208154652_0004_T.JPG,paired,exact_base_name,0,no,
20251210_GardenHill/DJI_202512081539_001::DJI_20251208154701_0005,20251210_GardenHill,GardenHill,2025-12-08,DJI_202512081539_001,DJI_20251208154701_0005,0005,data/raw/HKUST/20251210_GardenHill/DJI_202512081539_001/DJI_20251208154701_0005_V.JPG,data/raw/HKUST/20251210_GardenHill/DJI_202512081539_001/DJI_20251208154701_0005_T.JPG,paired,exact_base_name,0,no,
20251210_GardenHill/DJI_202512081539_001::DJI_20251208154802_0006,20251210_GardenHill,GardenHill,2025-12-08,DJI_202512081539_001,DJI_20251208154802_0006,0006,data/raw/HKUST/20251210_GardenHill/DJI_202512081539_001/DJI_20251208154802_0006_V.JPG,data/raw/HKUST/20251210_GardenHill/DJI_202512081539_001/DJI_20251208154802_0006_T.JPG,paired,exact_base_name,0,no,
20251210_GardenHill/DJI_202512081539_001::DJI_20251208154810_0007,20251210_GardenHill,GardenHill,2025-12-08,DJI_202512081539_001,DJI_20251208154810_0007,0007,data/raw/HKUST/20251210_GardenHill/DJI_202512081539_001/DJI_20251208154810_0007_V.JPG,data/raw/HKUST/20251210_GardenHill/DJI_202512081539_001/DJI_20251208154810_0007_T.JPG,paired,exact_base_name,0,no,
20251210_GardenHill/DJI_202512081539_001::DJI_20251208154923_0008,20251210_GardenHill,GardenHill,2025-12-08,DJI_202512081539_001,DJI_20251208154923_0008,0008,data/raw/HKUST/20251210_GardenHill/DJI_202512081539_001/DJI_20251208154923_0008_V.JPG,data/raw/HKUST/20251210_GardenHill/DJI_202512081539_001/DJI_20251208154923_0008_T.JPG,paired,exact_base_name,0,no,
20251210_GardenHill/DJI_202512081539_001::sample_0009,20251210_GardenHill,GardenHill,2025-12-08,DJI_202512081539_001,sample_0009,0009,data/raw/HKUST/20251210_GardenHill/DJI_202512081539_001/DJI_20251208154942_0009_V.JPG,data/raw/HKUST/20251210_GardenHill/DJI_202512081539_001/DJI_20251208154943_0009_T.JPG,paired,session_sample_number,1,no,fallback base names: V=DJI_20251208154942_0009; T=DJI_20251208154943_0009
20251210_GardenHill/DJI_202512081539_001::sample_0011,20251210_GardenHill,GardenHill,2025-12-08,DJI_202512081539_001,sample_0011,0011,data/raw/HKUST/20251210_GardenHill/DJI_202512081539_001/DJI_20251208155028_0011_V.JPG,data/raw/HKUST/20251210_GardenHill/DJI_202512081539_001/DJI_20251208155029_0011_T.JPG,paired,session_sample_number,1,no,fallback base names: V=DJI_20251208155028_0011; T=DJI_20251208155029_0011
20251210_GardenHill/DJI_202512081539_001::sample_0012,20251210_GardenHill,GardenHill,2025-12-08,DJI_202512081539_001,sample_0012,0012,data/raw/HKUST/20251210_GardenHill/DJI_202512081539_001/DJI_20251208155032_0012_V.JPG,data/raw/HKUST/20251210_GardenHill/DJI_202512081539_001/DJI_20251208155031_0012_T.JPG,paired,session_sample_number,1,no,fallback base names: V=DJI_20251208155032_0012; T=DJI_20251208155031_0012
