pair_id,image_type,image_path,paired_image_path,image_name,paired_image_name,pair_status,metadata_source,image_width,image_height,gps_latitude,gps_longitude,center_x_2326,center_y_2326,altitude_used_m,altitude_source,focal_length_mm,focal_length_35mm,sensor_width_mm,sensor_height_mm,sensor_source,horizontal_fov_deg,vertical_fov_deg,fov_source,camera_profile_used,footprint_parameter_source,fallback_used,aperture_ignored,gimbal_yaw_degree,flight_yaw_degree,yaw_source,yaw_heading_assumption,ground_width_m,ground_height_m,footprint_area_m2,gsd_x_m_per_px,gsd_y_m_per_px,min_x_2326,max_x_2326,min_y_2326,max_y_2326,nw_x_2326,nw_y_2326,ne_x_2326,ne_y_2326,se_x_2326,se_y_2326,sw_x_2326,sw_y_2326,nw_lat,nw_lon,ne_lat,ne_lon,se_lat,se_lon,sw_lat,sw_lon,status,warning_message
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107142534_0001,visible,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107142534_0001_V.JPG,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107142534_0001_T.JPG,DJI_20260107142534_0001_V.JPG,DJI_20260107142534_0001_T.JPG,paired,data/metadata/dji_image_metadata.csv,4032.0,3024.0,22.338944444444444,114.26404166666669,,,0.0,,6.7,24.0,,,,,,,visible_profile,,False,True,-3.8,-3.7,,not applied; approximate north-up rectangular footprint,,,,,,,,,,,,,,,,,,,,,,,,,,incomplete,missing or invalid required footprint metadata: positive_relative_altitude
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107142534_0001,thermal,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107142534_0001_T.JPG,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107142534_0001_V.JPG,DJI_20260107142534_0001_T.JPG,DJI_20260107142534_0001_V.JPG,paired,data/metadata/dji_image_metadata.csv,640.0,512.0,22.338944444444444,114.26404166666669,,,0.0,,12.0,52.0,,,,,,,thermal_profile,,False,True,-3.8,-3.7,,not applied; approximate north-up rectangular footprint,,,,,,,,,,,,,,,,,,,,,,,,,,incomplete,missing or invalid required footprint metadata: positive_relative_altitude
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107142623_0003,visible,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107142623_0003_V.JPG,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107142623_0003_T.JPG,DJI_20260107142623_0003_V.JPG,DJI_20260107142623_0003_T.JPG,paired,data/metadata/dji_image_metadata.csv,4032.0,3024.0,22.339152777777777,114.26385555555557,,,0.0,,6.7,24.0,,,,,,,visible_profile,,False,True,15.6,15.4,,not applied; approximate north-up rectangular footprint,,,,,,,,,,,,,,,,,,,,,,,,,,incomplete,missing or invalid required footprint metadata: positive_relative_altitude
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107142623_0003,thermal,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107142623_0003_T.JPG,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107142623_0003_V.JPG,DJI_20260107142623_0003_T.JPG,DJI_20260107142623_0003_V.JPG,paired,data/metadata/dji_image_metadata.csv,640.0,512.0,22.339152777777777,114.26385555555557,,,0.0,,12.0,52.0,,,,,,,thermal_profile,,False,True,15.6,15.4,,not applied; approximate north-up rectangular footprint,,,,,,,,,,,,,,,,,,,,,,,,,,incomplete,missing or invalid required footprint metadata: positive_relative_altitude
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,visible,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_V.JPG,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,DJI_20260107143259_0005_V.JPG,DJI_20260107143259_0005_T.JPG,paired,data/metadata/dji_image_metadata.csv,4032.0,3024.0,22.340113888888887,114.263325,845173.6431448193,822340.2942850394,399.269,EXIF/XMP RelativeAltitude,6.7,24.0,9.662877418243491,7.24715806368262,derived from EXIF/XMP focal_length_35mm and target image aspect,71.59151982941417,56.81194376019049,computed from EXIF/XMP focal length + 35mm-equivalent-derived sensor size,visible_profile,EXIF/XMP focal length + focal_length_35mm-derived sensor size,False,True,-179.2,-0.2,EXIF/XMP gimbal_yaw_degree,not applied; approximate north-up rectangular footprint,575.8339408812928,431.8754556609695,248688.54560316014,0.14281595755984447,0.14281595755984441,844885.7261743787,845461.56011526,822124.3565572089,822556.2320128699,844885.7261743787,822556.2320128699,845461.56011526,822556.2320128699,845461.56011526,822124.3565572089,844885.7261743787,822124.3565572089,22.342065394190975,114.26053124516356,22.342062409907932,114.26612116830876,22.33816233234855,114.26611868483157,22.33816531606515,114.26052891716233,ok,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,thermal,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_V.JPG,DJI_20260107143259_0005_T.JPG,DJI_20260107143259_0005_V.JPG,paired,data/metadata/dji_image_metadata.csv,640.0,512.0,22.340113888888887,114.263325,845173.6431448193,822340.2942850394,399.28,EXIF/XMP RelativeAltitude,12.0,52.0,7.79666547283578,6.237332378268624,derived from EXIF/XMP focal_length_35mm and target image aspect,35.99392244790114,29.13650161648791,computed from EXIF/XMP focal length + 35mm-equivalent-derived sensor size,thermal_profile,EXIF/XMP focal length + focal_length_35mm-derived sensor size,False,True,-179.2,-0.1,EXIF/XMP gimbal_yaw_degree,not applied; approximate north-up rectangular footprint,259.4210491661559,207.53683933292464,53839.42460037524,0.4053453893221186,0.40534538932211844,845043.9326202362,845303.3536694024,822236.525865373,822444.0627047059,845043.9326202362,822444.0627047059,845303.3536694024,822444.0627047059,845303.3536694024,822236.525865373,845043.9326202362,822236.525865373,22.341051641809937,114.2620664227087,22.341050297415972,114.26458474118228,22.339176123294042,114.26458356827962,22.339177467565367,114.26206528346555,ok,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::sample_0006,visible,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143311_0006_V.JPG,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143312_0006_T.JPG,DJI_20260107143311_0006_V.JPG,DJI_20260107143312_0006_T.JPG,paired,data/metadata/dji_image_metadata.csv,4032.0,3024.0,22.339480555555554,114.26331388888887,845172.5387805877,822270.1614330257,400.028,EXIF/XMP RelativeAltitude,6.7,24.0,9.662877418243491,7.24715806368262,derived from EXIF/XMP focal_length_35mm and target image aspect,71.59151982941417,56.81194376019049,computed from EXIF/XMP focal length + 35mm-equivalent-derived sensor size,visible_profile,EXIF/XMP focal length + focal_length_35mm-derived sensor size,False,True,-179.2,-0.2,EXIF/XMP gimbal_yaw_degree,not applied; approximate north-up rectangular footprint,576.9285862485237,432.6964396863927,249634.94522304015,0.143087446986241,0.14308744698624096,844884.0744874635,845461.003073712,822053.8132131825,822486.509652869,844884.0744874635,822486.509652869,845461.003073712,822486.509652869,845461.003073712,822053.8132131825,844884.0744874635,822053.8132131825,22.34143577049749,114.26051483557104,22.34143278100359,114.26611535986653,22.337525289193156,114.26611287190715,22.337528278118533,114.26051250367372,ok,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::sample_0006,thermal,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143312_0006_T.JPG,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143311_0006_V.JPG,DJI_20260107143312_0006_T.JPG,DJI_20260107143311_0006_V.JPG,paired,data/metadata/dji_image_metadata.csv,640.0,512.0,22.339480555555554,114.26331388888887,845172.5387805877,822270.1614330257,400.031,EXIF/XMP RelativeAltitude,12.0,52.0,7.79666547283578,6.237332378268624,derived from EXIF/XMP focal_length_35mm and target image aspect,35.99392244790114,29.13650161648791,computed from EXIF/XMP focal length + 35mm-equivalent-derived sensor size,thermal_profile,EXIF/XMP focal length + focal_length_35mm-derived sensor size,False,True,-179.2,-0.3,EXIF/XMP gimbal_yaw_degree,not applied; approximate north-up rectangular footprint,259.9089904803309,207.92719238426466,54042.14666600377,0.406107797625517,0.4061077976255169,845042.5842853476,845302.4932758278,822166.1978368335,822374.1250292179,845042.5842853476,822374.1250292179,845302.4932758278,822374.1250292179,845302.4932758278,822166.1978368335,845042.5842853476,822166.1978368335,22.340420072245518,114.2620529499393,22.340418725531237,114.264575993718,22.338541026155543,114.26457481876271,22.33854237274674,114.26205180876906,ok,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,visible,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143320_0007_V.JPG,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143320_0007_T.JPG,DJI_20260107143320_0007_V.JPG,DJI_20260107143320_0007_T.JPG,paired,data/metadata/dji_image_metadata.csv,4032.0,3024.0,22.338783333333332,114.26330555555556,845171.7246168391,822192.9540126028,400.121,EXIF/XMP RelativeAltitude,6.7,24.0,9.662877418243491,7.24715806368262,derived from EXIF/XMP focal_length_35mm and target image aspect,71.59151982941417,56.81194376019049,computed from EXIF/XMP focal length + 35mm-equivalent-derived sensor size,visible_profile,EXIF/XMP focal length + focal_length_35mm-derived sensor size,False,True,-179.2,-1.2,EXIF/XMP gimbal_yaw_degree,not applied; approximate north-up rectangular footprint,577.0627127559709,432.7970345669781,249751.0308399601,0.1431207124890801,0.14312071248908007,844883.1932604611,845460.2559732171,821976.5554953193,822409.3525298863,844883.1932604611,822409.3525298863,845460.2559732171,822409.3525298863,845460.2559732171,821976.5554953193,844883.1932604611,821976.5554953193,22.340739002807283,114.26050586526272,22.340736012993045,114.26610766375276,22.336827612418478,114.2661051755142,22.336830601664005,114.26050353315262,ok,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,thermal,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143320_0007_T.JPG,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143320_0007_V.JPG,DJI_20260107143320_0007_T.JPG,DJI_20260107143320_0007_V.JPG,paired,data/metadata/dji_image_metadata.csv,640.0,512.0,22.338783333333332,114.26330555555556,845171.7246168391,822192.9540126028,400.098,EXIF/XMP RelativeAltitude,12.0,52.0,7.79666547283578,6.237332378268624,derived from EXIF/XMP focal_length_35mm and target image aspect,35.99392244790114,29.13650161648791,computed from EXIF/XMP focal length + 35mm-equivalent-derived sensor size,thermal_profile,EXIF/XMP focal length + focal_length_35mm-derived sensor size,False,True,-179.2,-1.1,EXIF/XMP gimbal_yaw_degree,not applied; approximate north-up rectangular footprint,259.9525218625542,207.9620174900433,54060.25089816136,0.40617581541024095,0.40617581541024084,845041.7483559079,845301.7008777703,822088.9730038578,822296.9350213478,845041.7483559079,822296.9350213478,845301.7008777703,822296.9350213478,845301.7008777703,822088.9730038578,845041.7483559079,822088.9730038578,22.33972300737629,114.26204441161028,22.339721660605235,114.26456786542191,22.33784364657786,114.26456669041868,22.337844993225804,114.26204327040206,ok,
