pair_id,image_type,image_path,paired_image_path,image_name,paired_image_name,pair_status,metadata_source,image_width,image_height,gps_latitude,gps_longitude,center_x_2326,center_y_2326,altitude_used_m,altitude_source,focal_length_mm,focal_length_35mm,sensor_width_mm,sensor_height_mm,sensor_source,horizontal_fov_deg,vertical_fov_deg,fov_source,camera_profile_used,footprint_parameter_source,fallback_used,aperture_ignored,gimbal_yaw_degree,flight_yaw_degree,yaw_source,yaw_heading_assumption,ground_width_m,ground_height_m,footprint_area_m2,gsd_x_m_per_px,gsd_y_m_per_px,min_x_2326,max_x_2326,min_y_2326,max_y_2326,nw_x_2326,nw_y_2326,ne_x_2326,ne_y_2326,se_x_2326,se_y_2326,sw_x_2326,sw_y_2326,nw_lat,nw_lon,ne_lat,ne_lon,se_lat,se_lon,sw_lat,sw_lon,status,warning_message
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107142534_0001,thermal,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107142534_0001_T.JPG,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107142534_0001_V.JPG,DJI_20260107142534_0001_T.JPG,DJI_20260107142534_0001_V.JPG,paired,data/metadata/dji_image_metadata.csv,640.0,512.0,22.338944444444444,114.26404166666669,,,0.0,,12.0,52.0,,,,,,,thermal_profile,,False,True,-3.8,-3.7,,not applied; approximate north-up rectangular footprint,,,,,,,,,,,,,,,,,,,,,,,,,,incomplete,missing or invalid required footprint metadata: positive_relative_altitude
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107142623_0003,thermal,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107142623_0003_T.JPG,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107142623_0003_V.JPG,DJI_20260107142623_0003_T.JPG,DJI_20260107142623_0003_V.JPG,paired,data/metadata/dji_image_metadata.csv,640.0,512.0,22.339152777777777,114.26385555555557,,,0.0,,12.0,52.0,,,,,,,thermal_profile,,False,True,15.6,15.4,,not applied; approximate north-up rectangular footprint,,,,,,,,,,,,,,,,,,,,,,,,,,incomplete,missing or invalid required footprint metadata: positive_relative_altitude
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,thermal,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_V.JPG,DJI_20260107143259_0005_T.JPG,DJI_20260107143259_0005_V.JPG,paired,data/metadata/dji_image_metadata.csv,640.0,512.0,22.340113888888887,114.263325,845173.6431448193,822340.2942850394,399.28,EXIF/XMP RelativeAltitude,12.0,52.0,7.79666547283578,6.237332378268624,derived from EXIF/XMP focal_length_35mm and target image aspect,35.99392244790114,29.13650161648791,computed from EXIF/XMP focal length + 35mm-equivalent-derived sensor size,thermal_profile,EXIF/XMP focal length + focal_length_35mm-derived sensor size,False,True,-179.2,-0.1,EXIF/XMP gimbal_yaw_degree,not applied; approximate north-up rectangular footprint,259.4210491661559,207.53683933292464,53839.42460037524,0.4053453893221186,0.40534538932211844,845043.9326202362,845303.3536694024,822236.525865373,822444.0627047059,845043.9326202362,822444.0627047059,845303.3536694024,822444.0627047059,845303.3536694024,822236.525865373,845043.9326202362,822236.525865373,22.341051641809937,114.2620664227087,22.341050297415972,114.26458474118228,22.339176123294042,114.26458356827962,22.339177467565367,114.26206528346555,ok,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::sample_0006,thermal,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143312_0006_T.JPG,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143311_0006_V.JPG,DJI_20260107143312_0006_T.JPG,DJI_20260107143311_0006_V.JPG,paired,data/metadata/dji_image_metadata.csv,640.0,512.0,22.339480555555554,114.26331388888887,845172.5387805877,822270.1614330257,400.031,EXIF/XMP RelativeAltitude,12.0,52.0,7.79666547283578,6.237332378268624,derived from EXIF/XMP focal_length_35mm and target image aspect,35.99392244790114,29.13650161648791,computed from EXIF/XMP focal length + 35mm-equivalent-derived sensor size,thermal_profile,EXIF/XMP focal length + focal_length_35mm-derived sensor size,False,True,-179.2,-0.3,EXIF/XMP gimbal_yaw_degree,not applied; approximate north-up rectangular footprint,259.9089904803309,207.92719238426466,54042.14666600377,0.406107797625517,0.4061077976255169,845042.5842853476,845302.4932758278,822166.1978368335,822374.1250292179,845042.5842853476,822374.1250292179,845302.4932758278,822374.1250292179,845302.4932758278,822166.1978368335,845042.5842853476,822166.1978368335,22.340420072245518,114.2620529499393,22.340418725531237,114.264575993718,22.338541026155543,114.26457481876271,22.33854237274674,114.26205180876906,ok,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,thermal,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143320_0007_T.JPG,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143320_0007_V.JPG,DJI_20260107143320_0007_T.JPG,DJI_20260107143320_0007_V.JPG,paired,data/metadata/dji_image_metadata.csv,640.0,512.0,22.338783333333332,114.26330555555556,845171.7246168391,822192.9540126028,400.098,EXIF/XMP RelativeAltitude,12.0,52.0,7.79666547283578,6.237332378268624,derived from EXIF/XMP focal_length_35mm and target image aspect,35.99392244790114,29.13650161648791,computed from EXIF/XMP focal length + 35mm-equivalent-derived sensor size,thermal_profile,EXIF/XMP focal length + focal_length_35mm-derived sensor size,False,True,-179.2,-1.1,EXIF/XMP gimbal_yaw_degree,not applied; approximate north-up rectangular footprint,259.9525218625542,207.9620174900433,54060.25089816136,0.40617581541024095,0.40617581541024084,845041.7483559079,845301.7008777703,822088.9730038578,822296.9350213478,845041.7483559079,822296.9350213478,845301.7008777703,822296.9350213478,845301.7008777703,822088.9730038578,845041.7483559079,822088.9730038578,22.33972300737629,114.26204441161028,22.339721660605235,114.26456786542191,22.33784364657786,114.26456669041868,22.337844993225804,114.26204327040206,ok,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143328_0008,thermal,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143328_0008_T.JPG,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143328_0008_V.JPG,DJI_20260107143328_0008_T.JPG,DJI_20260107143328_0008_V.JPG,paired,data/metadata/dji_image_metadata.csv,640.0,512.0,22.338366666666666,114.2633,845171.17877715,822146.8140891063,400.275,EXIF/XMP RelativeAltitude,12.0,52.0,7.79666547283578,6.237332378268624,derived from EXIF/XMP focal_length_35mm and target image aspect,35.99392244790114,29.13650161648791,computed from EXIF/XMP focal length + 35mm-equivalent-derived sensor size,thermal_profile,EXIF/XMP focal length + focal_length_35mm-derived sensor size,False,True,-179.3,-0.4,EXIF/XMP gimbal_yaw_degree,not applied; approximate north-up rectangular footprint,260.0675226782785,208.05401814262277,54108.093081613515,0.4063555041848102,0.4063555041848101,845041.1450158108,845301.2125384891,822042.787080035,822250.8410981776,845041.1450158108,822250.8410981776,845301.2125384891,822250.8410981776,845301.2125384891,822042.787080035,845041.1450158108,822042.787080035,22.33930675640555,114.26203830183094,22.339305409148558,114.26456286450363,22.337426564207036,114.26456168907148,22.33742791134082,114.26203716022295,ok,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,thermal,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143344_0009_T.JPG,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143344_0009_V.JPG,DJI_20260107143344_0009_T.JPG,DJI_20260107143344_0009_V.JPG,paired,data/metadata/dji_image_metadata.csv,640.0,512.0,22.3377,114.2632888888889,845170.0765011112,822072.990085192,400.667,EXIF/XMP RelativeAltitude,12.0,52.0,7.79666547283578,6.237332378268624,derived from EXIF/XMP focal_length_35mm and target image aspect,35.99392244790114,29.13650161648791,computed from EXIF/XMP focal length + 35mm-equivalent-derived sensor size,thermal_profile,EXIF/XMP focal length + focal_length_35mm-derived sensor size,False,True,-179.3,-1.7,EXIF/XMP gimbal_yaw_degree,not applied; approximate north-up rectangular footprint,260.32221375039114,208.25777100031286,54214.12397752345,0.40675345898498616,0.40675345898498605,845039.915394236,845300.2376079863,821968.8611996919,822177.1189706922,845039.915394236,822177.1189706922,845300.2376079863,822177.1189706922,845300.2376079863,821968.8611996919,845039.915394236,821968.8611996919,22.33864101036286,114.26202596100555,22.338639661997046,114.26455298405327,22.33675897689783,114.26455180764079,22.336760325140226,114.26202481848222,ok,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::sample_0010,thermal,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143353_0010_T.JPG,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143352_0010_V.JPG,DJI_20260107143353_0010_T.JPG,DJI_20260107143352_0010_V.JPG,paired,data/metadata/dji_image_metadata.csv,640.0,512.0,22.337249999999997,114.26328055555555,845169.2466110026,822023.1588368024,400.599,EXIF/XMP RelativeAltitude,12.0,52.0,7.79666547283578,6.237332378268624,derived from EXIF/XMP focal_length_35mm and target image aspect,35.99392244790114,29.13650161648791,computed from EXIF/XMP focal length + 35mm-equivalent-derived sensor size,thermal_profile,EXIF/XMP focal length + focal_length_35mm-derived sensor size,False,True,-179.2,-1.0,EXIF/XMP gimbal_yaw_degree,not applied; approximate north-up rectangular footprint,260.2780326460451,208.222426116836,54195.723422476556,0.4066844260094455,0.4066844260094453,845039.1075946796,845299.3856273256,821919.0476237439,822127.2700498608,845039.1075946796,822127.2700498608,845299.3856273256,822127.2700498608,845299.3856273256,821919.0476237439,845039.1075946796,821919.0476237439,22.338190850632916,114.26201784599921,22.33818950265109,114.26454443205806,22.336309136631655,114.26454325598574,22.336310484490113,114.26201670380367,ok,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,thermal,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143401_0011_T.JPG,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143401_0011_V.JPG,DJI_20260107143401_0011_T.JPG,DJI_20260107143401_0011_V.JPG,paired,data/metadata/dji_image_metadata.csv,640.0,512.0,22.336647222222226,114.26327222222224,845168.4264156009,821956.4097435236,400.791,EXIF/XMP RelativeAltitude,12.0,52.0,7.79666547283578,6.237332378268624,derived from EXIF/XMP focal_length_35mm and target image aspect,35.99392244790114,29.13650161648791,computed from EXIF/XMP focal length + 35mm-equivalent-derived sensor size,thermal_profile,EXIF/XMP focal length + focal_length_35mm-derived sensor size,False,True,-179.3,-1.0,EXIF/XMP gimbal_yaw_degree,not applied; approximate north-up rectangular footprint,260.4027792936105,208.32222343488831,54247.68597106943,0.40687934264626635,0.40687934264626624,845038.2250259541,845298.6278052478,821852.2486318061,822060.570855241,845038.2250259541,822060.570855241,845298.6278052478,822060.570855241,845298.6278052478,821852.2486318061,845038.2250259541,821852.2486318061,22.33758852377489,114.26200891282447,22.33758717531075,114.2645366989746,22.335705907925394,114.26453552247696,22.33570725626607,114.26200777023493,ok,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143409_0012,thermal,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143409_0012_T.JPG,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143409_0012_V.JPG,DJI_20260107143409_0012_T.JPG,DJI_20260107143409_0012_V.JPG,paired,data/metadata/dji_image_metadata.csv,640.0,512.0,22.336194444444445,114.26326666666668,845167.8828473386,821906.2710685671,400.909,EXIF/XMP RelativeAltitude,12.0,52.0,7.79666547283578,6.237332378268624,derived from EXIF/XMP focal_length_35mm and target image aspect,35.99392244790114,29.13650161648791,computed from EXIF/XMP focal length + 35mm-equivalent-derived sensor size,thermal_profile,EXIF/XMP focal length + focal_length_35mm-derived sensor size,False,True,-179.2,-1.5,EXIF/XMP gimbal_yaw_degree,not applied; approximate north-up rectangular footprint,260.47944650409335,208.38355720327462,54279.633640863045,0.40699913516264585,0.40699913516264574,845037.6431240865,845298.1225705906,821802.0792899654,822010.4628471687,845037.6431240865,822010.4628471687,845298.1225705906,822010.4628471687,845298.1225705906,821802.0792899654,845037.6431240865,821802.0792899654,22.33713602312875,114.26200298935558,22.33713467437962,114.26453151157264,22.335252853010694,114.26453033482424,22.335254201636253,114.26200184653439,ok,
