grid_id,pair_id,visible_image_name,thermal_image_name,visible_image_path,thermal_image_path,target_image_type,base_image_path,base_image_width_px,base_image_height_px,metadata_file_used,camera_profile_used,footprint_parameter_source,focal_length_mm,focal_length_35mm,horizontal_fov_deg,vertical_fov_deg,sensor_width_mm,sensor_height_mm,sensor_source,relative_altitude_m,aperture_ignored,grid_row,grid_col,cell_min_x_2326,cell_max_x_2326,cell_min_y_2326,cell_max_y_2326,cell_center_x_2326,cell_center_y_2326,cell_center_lat,cell_center_lon,cell_width_m,cell_height_m,cell_area_m2,is_partial_edge_cell,dominant_luhk_code,dominant_luhk_name,dominant_ratio,second_luhk_code,second_luhk_name,second_ratio,landuse_quality_flag,notes,luhk_overlap_area_m2,luhk_raw_code_area_json
DJI_20260107143259_0005_T__thermal__r000_c000,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005_V.JPG,DJI_20260107143259_0005_T.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_V.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,thermal,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,640,512,data/metadata/dji_image_metadata.csv,thermal_profile,EXIF/XMP focal length + focal_length_35mm-derived sensor size,12.0,52.0,35.99392244790114,29.13650161648791,7.79666547283578,6.237332378268624,derived from EXIF/XMP focal_length_35mm and target image aspect,399.28,True,0,0,845043.9326202362,845053.9326202362,822436.525865373,822444.0627047059,845048.9326202362,822440.2942850394,22.341017585325805,114.26211493929249,10.0,7.536839332897216,75.36839332897216,True,7,Woodland / shrubland / grassland / wetland,1.0,,,0.0,high_confidence,"Dominant LUHK land-use assigned by majority overlap between the pilot 10m grid cell and the LUHK 2024 10m raster. This step does not extract thermal temperatures, calculate delta-T, or run prediction. The current pilot stage is thermal-first: outputs are plotted on `_T.JPG` using thermal image geometry and `thermal_profile` assumptions when metadata does not provide FOV or sensor size. Visible `_V.JPG` overlays are deferred. The overlay remains an approximate first-pass visualization using the north-up rectangular footprint assumption.",75.36839332897216,"{""71"": 75.36839332897216}"
DJI_20260107143259_0005_T__thermal__r000_c001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005_V.JPG,DJI_20260107143259_0005_T.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_V.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,thermal,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,640,512,data/metadata/dji_image_metadata.csv,thermal_profile,EXIF/XMP focal length + focal_length_35mm-derived sensor size,12.0,52.0,35.99392244790114,29.13650161648791,7.79666547283578,6.237332378268624,derived from EXIF/XMP focal_length_35mm and target image aspect,399.28,True,0,1,845053.9326202362,845063.9326202362,822436.525865373,822444.0627047059,845058.9326202362,822440.2942850394,22.3410175341993,114.26221201383431,10.0,7.536839332897216,75.36839332897216,True,7,Woodland / shrubland / grassland / wetland,1.0,,,0.0,high_confidence,"Dominant LUHK land-use assigned by majority overlap between the pilot 10m grid cell and the LUHK 2024 10m raster. This step does not extract thermal temperatures, calculate delta-T, or run prediction. The current pilot stage is thermal-first: outputs are plotted on `_T.JPG` using thermal image geometry and `thermal_profile` assumptions when metadata does not provide FOV or sensor size. Visible `_V.JPG` overlays are deferred. The overlay remains an approximate first-pass visualization using the north-up rectangular footprint assumption.",75.36839332897216,"{""71"": 75.36839332897216}"
DJI_20260107143259_0005_T__thermal__r000_c002,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005_V.JPG,DJI_20260107143259_0005_T.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_V.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,thermal,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,640,512,data/metadata/dji_image_metadata.csv,thermal_profile,EXIF/XMP focal length + focal_length_35mm-derived sensor size,12.0,52.0,35.99392244790114,29.13650161648791,7.79666547283578,6.237332378268624,derived from EXIF/XMP focal_length_35mm and target image aspect,399.28,True,0,2,845063.9326202362,845073.9326202362,822436.525865373,822444.0627047059,845068.9326202362,822440.2942850394,22.34101748301463,114.2623090883759,10.0,7.536839332897216,75.36839332897216,True,7,Woodland / shrubland / grassland / wetland,1.0,,,0.0,high_confidence,"Dominant LUHK land-use assigned by majority overlap between the pilot 10m grid cell and the LUHK 2024 10m raster. This step does not extract thermal temperatures, calculate delta-T, or run prediction. The current pilot stage is thermal-first: outputs are plotted on `_T.JPG` using thermal image geometry and `thermal_profile` assumptions when metadata does not provide FOV or sensor size. Visible `_V.JPG` overlays are deferred. The overlay remains an approximate first-pass visualization using the north-up rectangular footprint assumption.",75.36839332897216,"{""71"": 75.36839332897216}"
DJI_20260107143259_0005_T__thermal__r000_c003,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005_V.JPG,DJI_20260107143259_0005_T.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_V.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,thermal,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,640,512,data/metadata/dji_image_metadata.csv,thermal_profile,EXIF/XMP focal length + focal_length_35mm-derived sensor size,12.0,52.0,35.99392244790114,29.13650161648791,7.79666547283578,6.237332378268624,derived from EXIF/XMP focal_length_35mm and target image aspect,399.28,True,0,3,845073.9326202362,845083.9326202362,822436.525865373,822444.0627047059,845078.9326202362,822440.2942850394,22.341017431771803,114.2624061629172,10.0,7.536839332897216,75.36839332897216,True,7,Woodland / shrubland / grassland / wetland,1.0,,,0.0,high_confidence,"Dominant LUHK land-use assigned by majority overlap between the pilot 10m grid cell and the LUHK 2024 10m raster. This step does not extract thermal temperatures, calculate delta-T, or run prediction. The current pilot stage is thermal-first: outputs are plotted on `_T.JPG` using thermal image geometry and `thermal_profile` assumptions when metadata does not provide FOV or sensor size. Visible `_V.JPG` overlays are deferred. The overlay remains an approximate first-pass visualization using the north-up rectangular footprint assumption.",75.36839332897216,"{""71"": 75.36839332897216}"
DJI_20260107143259_0005_T__thermal__r000_c004,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005_V.JPG,DJI_20260107143259_0005_T.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_V.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,thermal,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,640,512,data/metadata/dji_image_metadata.csv,thermal_profile,EXIF/XMP focal length + focal_length_35mm-derived sensor size,12.0,52.0,35.99392244790114,29.13650161648791,7.79666547283578,6.237332378268624,derived from EXIF/XMP focal_length_35mm and target image aspect,399.28,True,0,4,845083.9326202362,845093.9326202362,822436.525865373,822444.0627047059,845088.9326202362,822440.2942850394,22.341017380470802,114.2625032374582,10.0,7.536839332897216,75.36839332897216,True,7,Woodland / shrubland / grassland / wetland,1.0,,,0.0,high_confidence,"Dominant LUHK land-use assigned by majority overlap between the pilot 10m grid cell and the LUHK 2024 10m raster. This step does not extract thermal temperatures, calculate delta-T, or run prediction. The current pilot stage is thermal-first: outputs are plotted on `_T.JPG` using thermal image geometry and `thermal_profile` assumptions when metadata does not provide FOV or sensor size. Visible `_V.JPG` overlays are deferred. The overlay remains an approximate first-pass visualization using the north-up rectangular footprint assumption.",75.36839332897216,"{""71"": 75.36839332897216}"
DJI_20260107143259_0005_T__thermal__r000_c005,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005_V.JPG,DJI_20260107143259_0005_T.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_V.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,thermal,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,640,512,data/metadata/dji_image_metadata.csv,thermal_profile,EXIF/XMP focal length + focal_length_35mm-derived sensor size,12.0,52.0,35.99392244790114,29.13650161648791,7.79666547283578,6.237332378268624,derived from EXIF/XMP focal_length_35mm and target image aspect,399.28,True,0,5,845093.9326202362,845103.9326202362,822436.525865373,822444.0627047059,845098.9326202362,822440.2942850394,22.341017329111644,114.26260031199894,10.0,7.536839332897216,75.36839332897216,True,7,Woodland / shrubland / grassland / wetland,1.0,,,0.0,high_confidence,"Dominant LUHK land-use assigned by majority overlap between the pilot 10m grid cell and the LUHK 2024 10m raster. This step does not extract thermal temperatures, calculate delta-T, or run prediction. The current pilot stage is thermal-first: outputs are plotted on `_T.JPG` using thermal image geometry and `thermal_profile` assumptions when metadata does not provide FOV or sensor size. Visible `_V.JPG` overlays are deferred. The overlay remains an approximate first-pass visualization using the north-up rectangular footprint assumption.",75.36839332897216,"{""71"": 75.36839332897216}"
DJI_20260107143259_0005_T__thermal__r000_c006,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005_V.JPG,DJI_20260107143259_0005_T.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_V.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,thermal,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,640,512,data/metadata/dji_image_metadata.csv,thermal_profile,EXIF/XMP focal length + focal_length_35mm-derived sensor size,12.0,52.0,35.99392244790114,29.13650161648791,7.79666547283578,6.237332378268624,derived from EXIF/XMP focal_length_35mm and target image aspect,399.28,True,0,6,845103.9326202362,845113.9326202362,822436.525865373,822444.0627047059,845108.9326202362,822440.2942850394,22.341017277694334,114.2626973865394,10.0,7.536839332897216,75.36839332897216,True,7,Woodland / shrubland / grassland / wetland,1.0,,,0.0,high_confidence,"Dominant LUHK land-use assigned by majority overlap between the pilot 10m grid cell and the LUHK 2024 10m raster. This step does not extract thermal temperatures, calculate delta-T, or run prediction. The current pilot stage is thermal-first: outputs are plotted on `_T.JPG` using thermal image geometry and `thermal_profile` assumptions when metadata does not provide FOV or sensor size. Visible `_V.JPG` overlays are deferred. The overlay remains an approximate first-pass visualization using the north-up rectangular footprint assumption.",75.36839332897216,"{""71"": 75.36839332897216}"
DJI_20260107143259_0005_T__thermal__r000_c007,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005_V.JPG,DJI_20260107143259_0005_T.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_V.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,thermal,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,640,512,data/metadata/dji_image_metadata.csv,thermal_profile,EXIF/XMP focal length + focal_length_35mm-derived sensor size,12.0,52.0,35.99392244790114,29.13650161648791,7.79666547283578,6.237332378268624,derived from EXIF/XMP focal_length_35mm and target image aspect,399.28,True,0,7,845113.9326202362,845123.9326202362,822436.525865373,822444.0627047059,845118.9326202362,822440.2942850394,22.341017226218856,114.26279446107958,10.0,7.536839332897216,75.36839332897216,True,7,Woodland / shrubland / grassland / wetland,1.0,,,0.0,high_confidence,"Dominant LUHK land-use assigned by majority overlap between the pilot 10m grid cell and the LUHK 2024 10m raster. This step does not extract thermal temperatures, calculate delta-T, or run prediction. The current pilot stage is thermal-first: outputs are plotted on `_T.JPG` using thermal image geometry and `thermal_profile` assumptions when metadata does not provide FOV or sensor size. Visible `_V.JPG` overlays are deferred. The overlay remains an approximate first-pass visualization using the north-up rectangular footprint assumption.",75.36839332897216,"{""71"": 75.36839332897216}"
DJI_20260107143259_0005_T__thermal__r000_c008,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005_V.JPG,DJI_20260107143259_0005_T.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_V.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,thermal,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,640,512,data/metadata/dji_image_metadata.csv,thermal_profile,EXIF/XMP focal length + focal_length_35mm-derived sensor size,12.0,52.0,35.99392244790114,29.13650161648791,7.79666547283578,6.237332378268624,derived from EXIF/XMP focal_length_35mm and target image aspect,399.28,True,0,8,845123.9326202362,845133.9326202362,822436.525865373,822444.0627047059,845128.9326202362,822440.2942850394,22.34101717468519,114.26289153561946,10.0,7.536839332897216,75.36839332897216,True,7,Woodland / shrubland / grassland / wetland,1.0,,,0.0,high_confidence,"Dominant LUHK land-use assigned by majority overlap between the pilot 10m grid cell and the LUHK 2024 10m raster. This step does not extract thermal temperatures, calculate delta-T, or run prediction. The current pilot stage is thermal-first: outputs are plotted on `_T.JPG` using thermal image geometry and `thermal_profile` assumptions when metadata does not provide FOV or sensor size. Visible `_V.JPG` overlays are deferred. The overlay remains an approximate first-pass visualization using the north-up rectangular footprint assumption.",75.36839332897216,"{""71"": 75.36839332897216}"
DJI_20260107143259_0005_T__thermal__r000_c009,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005_V.JPG,DJI_20260107143259_0005_T.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_V.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,thermal,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,640,512,data/metadata/dji_image_metadata.csv,thermal_profile,EXIF/XMP focal length + focal_length_35mm-derived sensor size,12.0,52.0,35.99392244790114,29.13650161648791,7.79666547283578,6.237332378268624,derived from EXIF/XMP focal_length_35mm and target image aspect,399.28,True,0,9,845133.9326202362,845143.9326202362,822436.525865373,822444.0627047059,845138.9326202362,822440.2942850394,22.341017123093398,114.26298861015907,10.0,7.536839332897216,75.36839332897216,True,7,Woodland / shrubland / grassland / wetland,1.0,,,0.0,high_confidence,"Dominant LUHK land-use assigned by majority overlap between the pilot 10m grid cell and the LUHK 2024 10m raster. This step does not extract thermal temperatures, calculate delta-T, or run prediction. The current pilot stage is thermal-first: outputs are plotted on `_T.JPG` using thermal image geometry and `thermal_profile` assumptions when metadata does not provide FOV or sensor size. Visible `_V.JPG` overlays are deferred. The overlay remains an approximate first-pass visualization using the north-up rectangular footprint assumption.",75.36839332897216,"{""71"": 75.36839332897216}"
