grid_id,image_id,pair_id,visible_image_name,thermal_image_name,visible_image_path,thermal_image_path,grid_row,grid_col,cell_min_x_2326,cell_max_x_2326,cell_min_y_2326,cell_max_y_2326,cell_width_m,cell_height_m,cell_area_m2,cell_center_x_2326,cell_center_y_2326,cell_center_lat,cell_center_lon,is_partial_edge_cell,footprint_min_x_2326,footprint_max_x_2326,footprint_min_y_2326,footprint_max_y_2326,footprint_ground_width_m,footprint_ground_height_m,footprint_gsd_x_m_per_px,footprint_gsd_y_m_per_px,quality_flag,notes
DJI_20260107143259_0005_T__r000_c000,DJI_20260107143259_0005_T,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005_V.JPG,DJI_20260107143259_0005_T.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_V.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,0,0,844938.4492506629,844948.4492506629,822512.5233755695,822518.0651945096,10.0,5.541818940080702,55.41818940080702,844943.4492506629,822515.2942850395,22.34169541312815,114.26109137131651,True,844938.4492506629,845408.8370389757,822162.5233755695,822518.0651945096,470.3877883127951,355.54181893998464,0.7349809192387424,0.6944176151171575,ok;partial_edge_cell,"Pilot 10m x 10m grid cell created inside the paired thermal image footprint. LUHK land-use assignment, thermal matrix extraction, delta-T, and prediction are intentionally deferred to later workflow steps."
DJI_20260107143259_0005_T__r000_c001,DJI_20260107143259_0005_T,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005_V.JPG,DJI_20260107143259_0005_T.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_V.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,0,1,844948.4492506629,844958.4492506629,822512.5233755695,822518.0651945096,10.0,5.541818940080702,55.41818940080702,844953.4492506629,822515.2942850395,22.34169536261349,114.26118844633018,True,844938.4492506629,845408.8370389757,822162.5233755695,822518.0651945096,470.3877883127951,355.54181893998464,0.7349809192387424,0.6944176151171575,ok;partial_edge_cell,"Pilot 10m x 10m grid cell created inside the paired thermal image footprint. LUHK land-use assignment, thermal matrix extraction, delta-T, and prediction are intentionally deferred to later workflow steps."
DJI_20260107143259_0005_T__r000_c002,DJI_20260107143259_0005_T,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005_V.JPG,DJI_20260107143259_0005_T.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_V.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,0,2,844958.4492506629,844968.4492506629,822512.5233755695,822518.0651945096,10.0,5.541818940080702,55.41818940080702,844963.4492506629,822515.2942850395,22.341695312040663,114.26128552134358,True,844938.4492506629,845408.8370389757,822162.5233755695,822518.0651945096,470.3877883127951,355.54181893998464,0.7349809192387424,0.6944176151171575,ok;partial_edge_cell,"Pilot 10m x 10m grid cell created inside the paired thermal image footprint. LUHK land-use assignment, thermal matrix extraction, delta-T, and prediction are intentionally deferred to later workflow steps."
DJI_20260107143259_0005_T__r000_c003,DJI_20260107143259_0005_T,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005_V.JPG,DJI_20260107143259_0005_T.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_V.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,0,3,844968.4492506629,844978.4492506629,822512.5233755695,822518.0651945096,10.0,5.541818940080702,55.41818940080702,844973.4492506629,822515.2942850395,22.34169526140968,114.26138259635671,True,844938.4492506629,845408.8370389757,822162.5233755695,822518.0651945096,470.3877883127951,355.54181893998464,0.7349809192387424,0.6944176151171575,ok;partial_edge_cell,"Pilot 10m x 10m grid cell created inside the paired thermal image footprint. LUHK land-use assignment, thermal matrix extraction, delta-T, and prediction are intentionally deferred to later workflow steps."
DJI_20260107143259_0005_T__r000_c004,DJI_20260107143259_0005_T,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005_V.JPG,DJI_20260107143259_0005_T.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_V.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,0,4,844978.4492506629,844988.4492506629,822512.5233755695,822518.0651945096,10.0,5.541818940080702,55.41818940080702,844983.4492506629,822515.2942850395,22.341695210720516,114.26147967136957,True,844938.4492506629,845408.8370389757,822162.5233755695,822518.0651945096,470.3877883127951,355.54181893998464,0.7349809192387424,0.6944176151171575,ok;partial_edge_cell,"Pilot 10m x 10m grid cell created inside the paired thermal image footprint. LUHK land-use assignment, thermal matrix extraction, delta-T, and prediction are intentionally deferred to later workflow steps."
DJI_20260107143259_0005_T__r000_c005,DJI_20260107143259_0005_T,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005_V.JPG,DJI_20260107143259_0005_T.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_V.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,0,5,844988.4492506629,844998.4492506629,822512.5233755695,822518.0651945096,10.0,5.541818940080702,55.41818940080702,844993.4492506629,822515.2942850395,22.341695159973206,114.26157674638216,True,844938.4492506629,845408.8370389757,822162.5233755695,822518.0651945096,470.3877883127951,355.54181893998464,0.7349809192387424,0.6944176151171575,ok;partial_edge_cell,"Pilot 10m x 10m grid cell created inside the paired thermal image footprint. LUHK land-use assignment, thermal matrix extraction, delta-T, and prediction are intentionally deferred to later workflow steps."
DJI_20260107143259_0005_T__r000_c006,DJI_20260107143259_0005_T,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005_V.JPG,DJI_20260107143259_0005_T.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_V.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,0,6,844998.4492506629,845008.4492506629,822512.5233755695,822518.0651945096,10.0,5.541818940080702,55.41818940080702,845003.4492506629,822515.2942850395,22.341695109167716,114.26167382139445,True,844938.4492506629,845408.8370389757,822162.5233755695,822518.0651945096,470.3877883127951,355.54181893998464,0.7349809192387424,0.6944176151171575,ok;partial_edge_cell,"Pilot 10m x 10m grid cell created inside the paired thermal image footprint. LUHK land-use assignment, thermal matrix extraction, delta-T, and prediction are intentionally deferred to later workflow steps."
DJI_20260107143259_0005_T__r000_c007,DJI_20260107143259_0005_T,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005_V.JPG,DJI_20260107143259_0005_T.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_V.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,0,7,845008.4492506629,845018.4492506629,822512.5233755695,822518.0651945096,10.0,5.541818940080702,55.41818940080702,845013.4492506629,822515.2942850395,22.341695058304076,114.26177089640647,True,844938.4492506629,845408.8370389757,822162.5233755695,822518.0651945096,470.3877883127951,355.54181893998464,0.7349809192387424,0.6944176151171575,ok;partial_edge_cell,"Pilot 10m x 10m grid cell created inside the paired thermal image footprint. LUHK land-use assignment, thermal matrix extraction, delta-T, and prediction are intentionally deferred to later workflow steps."
DJI_20260107143259_0005_T__r000_c008,DJI_20260107143259_0005_T,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005_V.JPG,DJI_20260107143259_0005_T.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_V.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,0,8,845018.4492506629,845028.4492506629,822512.5233755695,822518.0651945096,10.0,5.541818940080702,55.41818940080702,845023.4492506629,822515.2942850395,22.341695007382267,114.26186797141824,True,844938.4492506629,845408.8370389757,822162.5233755695,822518.0651945096,470.3877883127951,355.54181893998464,0.7349809192387424,0.6944176151171575,ok;partial_edge_cell,"Pilot 10m x 10m grid cell created inside the paired thermal image footprint. LUHK land-use assignment, thermal matrix extraction, delta-T, and prediction are intentionally deferred to later workflow steps."
DJI_20260107143259_0005_T__r000_c009,DJI_20260107143259_0005_T,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005_V.JPG,DJI_20260107143259_0005_T.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_V.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,0,9,845028.4492506629,845038.4492506629,822512.5233755695,822518.0651945096,10.0,5.541818940080702,55.41818940080702,845033.4492506629,822515.2942850395,22.341694956402286,114.2619650464297,True,844938.4492506629,845408.8370389757,822162.5233755695,822518.0651945096,470.3877883127951,355.54181893998464,0.7349809192387424,0.6944176151171575,ok;partial_edge_cell,"Pilot 10m x 10m grid cell created inside the paired thermal image footprint. LUHK land-use assignment, thermal matrix extraction, delta-T, and prediction are intentionally deferred to later workflow steps."
