rank,stage,method,score,score_delta,dx_px,dy_px,scale,rotation_deg,match_count,inlier_count,bbox
1,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.648975,0.12341,-0.4670204275428169,16.409970445062665,0.99,0.0,,,"1117,810,2914,2248"
2,fine_grid,skimage_edge_grid_search,0.647806,0.122241,0.0,20.0,0.99,0.0,,,"1117,813,2915,2252"
3,opencv,opencv_phase_correlation,0.642901,0.117335,-0.4670204275428169,16.409970445062665,1.0,0.0,,,"1108,802,2924,2255"
4,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.642901,0.117335,-0.4670204275428169,16.409970445062665,1.0,0.0,,,"1108,802,2924,2255"
5,opencv,opencv_ecc_translation,0.637233,0.111668,3.194005289673805,16.738323441706598,1.0,0.0,,,"1111,803,2927,2256"
6,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.616005,0.090439,-0.4670204275428169,26.409970445062665,1.0,0.0,,,"1108,812,2924,2265"
7,fine_grid,skimage_edge_grid_search,0.608129,0.082564,0.0,20.0,0.98,0.0,,,"1126,821,2906,2244"
8,fine_grid,skimage_edge_grid_search,0.606104,0.080538,0.0,10.0,0.99,0.0,,,"1117,803,2915,2242"
9,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.600696,0.07513,-0.4670204275428169,26.409970445062665,0.99,0.0,,,"1117,820,2914,2258"
10,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.597695,0.07213,-0.4670204275428169,16.409970445062665,1.01,0.0,,,"1098,795,2933,2263"
11,fine_grid,skimage_edge_grid_search,0.589562,0.063997,0.0,10.0,0.98,0.0,,,"1126,811,2906,2234"
12,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.585924,0.060358,-0.4670204275428169,26.409970445062665,1.01,0.0,,,"1098,805,2933,2273"
13,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.583634,0.058069,-10.467020427542817,16.409970445062665,1.0,0.0,,,"1098,802,2914,2255"
14,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.579097,0.053531,9.532979572457183,16.409970445062665,0.99,0.0,,,"1127,810,2924,2248"
15,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.578766,0.053201,-0.4670204275428169,16.409970445062665,0.99,-1.0,,,"1117,810,2914,2248"
16,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.578312,0.052747,9.532979572457183,16.409970445062665,1.0,0.0,,,"1118,802,2934,2255"
17,fine_grid,skimage_edge_grid_search,0.577063,0.051497,0.0,20.0,0.99,-1.0,,,"1117,813,2915,2252"
18,fine_grid,skimage_edge_grid_search,0.576311,0.050745,10.0,20.0,0.99,0.0,,,"1127,813,2925,2252"
19,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.576035,0.050469,-0.4670204275428169,6.409970445062665,0.99,0.0,,,"1117,800,2914,2238"
20,fine_grid,skimage_edge_grid_search,0.57519,0.049625,-10.0,20.0,0.99,0.0,,,"1107,813,2905,2252"
21,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.574903,0.049337,-10.467020427542817,16.409970445062665,0.99,0.0,,,"1107,810,2904,2248"
22,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.574886,0.049321,9.532979572457183,16.409970445062665,1.01,0.0,,,"1108,795,2943,2263"
23,fine_grid,skimage_edge_grid_search,0.570493,0.044927,0.0,20.0,0.97,0.0,,,"1135,828,2897,2237"
24,fine_grid,skimage_edge_grid_search,0.568023,0.042458,0.0,10.0,0.99,-1.0,,,"1117,803,2915,2242"
25,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.567859,0.042293,-0.4670204275428169,16.409970445062665,1.0,-1.0,,,"1108,802,2924,2255"
