pair_id,luhk_category_code,luhk_category_name,area_m2_weighted_by_thermal_overlap,proportion,spatial_uncertainty_note
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,3.0,GIC / open space,36582.015,0.679465,Approximate context only: LUHK is summarized from Part A approximate north-up drone thermal footprints; Part B refined alignment is image-space only.
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,7.0,Woodland / shrubland / grassland / wetland,17223.8729,0.319912,Approximate context only: LUHK is summarized from Part A approximate north-up drone thermal footprints; Part B refined alignment is image-space only.
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,5.0,Other urban / built-up land,33.5367,0.000623,Approximate context only: LUHK is summarized from Part A approximate north-up drone thermal footprints; Part B refined alignment is image-space only.
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,3.0,GIC / open space,52699.8763,0.974836,Approximate context only: LUHK is summarized from Part A approximate north-up drone thermal footprints; Part B refined alignment is image-space only.
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,7.0,Woodland / shrubland / grassland / wetland,1360.3746,0.025164,Approximate context only: LUHK is summarized from Part A approximate north-up drone thermal footprints; Part B refined alignment is image-space only.
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143328_0008,3.0,GIC / open space,53923.5455,0.996589,Approximate context only: LUHK is summarized from Part A approximate north-up drone thermal footprints; Part B refined alignment is image-space only.
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143328_0008,7.0,Woodland / shrubland / grassland / wetland,184.5476,0.003411,Approximate context only: LUHK is summarized from Part A approximate north-up drone thermal footprints; Part B refined alignment is image-space only.
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,3.0,GIC / open space,54214.124,1.0,Approximate context only: LUHK is summarized from Part A approximate north-up drone thermal footprints; Part B refined alignment is image-space only.
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,3.0,GIC / open space,54158.9373,0.998364,Approximate context only: LUHK is summarized from Part A approximate north-up drone thermal footprints; Part B refined alignment is image-space only.
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,7.0,Woodland / shrubland / grassland / wetland,88.7487,0.001636,Approximate context only: LUHK is summarized from Part A approximate north-up drone thermal footprints; Part B refined alignment is image-space only.
