pair_id,image_id,segment_id,pixel_count,pixel_fraction,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,centroid_x,centroid_y,mean_r,mean_g,mean_b,mean_h,mean_s,mean_v,suggested_class,suggestion_confidence,review_status,notes
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,1,3935,0.01200867,0,0,110,79,50.879,29.263,106.754,116.199,102.778,0.336926,0.190882,0.461424,unclear_ignore,low,needs_review,heuristic could not assign a reliable surface-cover suggestion
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,2,1916,0.00584717,67,0,126,59,97.341,22.223,59.203,74.189,76.404,0.504706,0.317643,0.313389,water,low,needs_review,blue/cyan heuristic; review required
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,3,2515,0.00767517,96,0,189,73,137.962,29.035,116.26,123.3,102.801,0.263672,0.182925,0.485423,unclear_ignore,low,needs_review,heuristic could not assign a reliable surface-cover suggestion
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,4,2462,0.00751343,144,0,226,100,184.788,35.781,195.891,188.876,181.759,0.236645,0.092606,0.776283,concrete_pavement,low,needs_review,bright low-saturation hardscape heuristic
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,5,2255,0.00688171,222,0,276,47,248.237,22.553,223.252,208.607,205.591,0.089688,0.080558,0.875704,concrete_pavement,low,needs_review,bright low-saturation hardscape heuristic
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,6,1366,0.0041687,268,0,319,79,288.908,51.436,137.386,143.67,101.074,0.210031,0.304177,0.566319,unclear_ignore,low,needs_review,heuristic could not assign a reliable surface-cover suggestion
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,7,1398,0.00426636,275,0,356,49,313.725,10.902,91.834,100.444,83.82,0.309499,0.192814,0.39667,unclear_ignore,low,needs_review,heuristic could not assign a reliable surface-cover suggestion
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,8,1909,0.00582581,342,0,392,85,369.63,44.933,82.317,92.025,90.531,0.457324,0.149398,0.369224,asphalt_road,low,needs_review,dark low-saturation hardscape heuristic
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,9,2170,0.00662231,362,0,423,58,395.846,23.584,194.336,182.554,141.408,0.129568,0.273342,0.762108,unclear_ignore,low,needs_review,heuristic could not assign a reliable surface-cover suggestion
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,10,1937,0.00591125,410,0,477,44,442.331,18.346,208.755,186.818,154.533,0.099322,0.262733,0.818742,unclear_ignore,low,needs_review,heuristic could not assign a reliable surface-cover suggestion
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,11,1503,0.00458679,467,0,527,57,496.038,20.971,109.605,116.474,95.673,0.248312,0.189963,0.457501,unclear_ignore,low,needs_review,heuristic could not assign a reliable surface-cover suggestion
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,12,3331,0.01016541,503,0,639,58,550.401,21.065,99.178,109.059,113.77,0.488489,0.201681,0.455099,unclear_ignore,low,needs_review,heuristic could not assign a reliable surface-cover suggestion
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,13,3877,0.01183167,570,2,639,69,607.797,35.265,215.056,216.018,220.712,0.417964,0.049422,0.871175,concrete_pavement,low,needs_review,bright low-saturation hardscape heuristic
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,14,2273,0.00693665,300,7,365,92,337.533,51.246,113.157,119.031,98.105,0.238987,0.184482,0.468307,unclear_ignore,low,needs_review,heuristic could not assign a reliable surface-cover suggestion
