pair_id,image_id,class_id,class_name,pixel_count,valid_temperature_pixel_count,mean_temperature_c,median_temperature_c,std_temperature_c,qa_label
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,0,no_data_unreviewed,0,0,,,,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,1,roof,30014,30014,15.953231811523438,14.826074600219727,5.524328231811523,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,2,concrete_pavement,20871,20871,21.394546508789062,20.828332901000977,5.713223934173584,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,3,asphalt_road,0,0,,,,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,4,vegetation_tree,262255,262255,13.001873970031738,12.711908340454102,1.869101881980896,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,5,grass_low_vegetation,14540,14540,23.67308807373047,24.0358829498291,3.474135160446167,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,6,bare_soil,0,0,,,,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,7,water,0,0,,,,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,8,vehicle_temporary_object,0,0,,,,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,9,unclear_ignore,0,0,,,,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,0,no_data_unreviewed,0,0,,,,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,1,roof,91251,91251,16.993244171142578,15.886438369750977,6.916731357574463,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,2,concrete_pavement,67562,67562,17.631383895874023,16.111902236938477,5.381219387054443,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,3,asphalt_road,0,0,,,,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,4,vegetation_tree,145962,145962,14.283912658691406,13.852838516235352,2.4293928146362305,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,5,grass_low_vegetation,14241,14241,22.299903869628906,22.9946231842041,3.4677023887634277,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,6,bare_soil,8664,8664,23.167373657226562,25.231531143188477,5.972963809967041,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,7,water,0,0,,,,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,8,vehicle_temporary_object,0,0,,,,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,9,unclear_ignore,0,0,,,,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143328_0008,DJI_20260107143328_0008,0,no_data_unreviewed,0,0,,,,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143328_0008,DJI_20260107143328_0008,1,roof,124088,124088,17.451427459716797,16.95830726623535,6.9445905685424805,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143328_0008,DJI_20260107143328_0008,2,concrete_pavement,64721,64721,17.365333557128906,15.906671524047852,5.583479881286621,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143328_0008,DJI_20260107143328_0008,3,asphalt_road,0,0,,,,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143328_0008,DJI_20260107143328_0008,4,vegetation_tree,130564,130564,13.682805061340332,13.194208145141602,2.189377784729004,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143328_0008,DJI_20260107143328_0008,5,grass_low_vegetation,6749,6749,22.140958786010742,23.013513565063477,3.0230886936187744,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143328_0008,DJI_20260107143328_0008,6,bare_soil,1558,1558,22.38214111328125,22.715234756469727,1.8533731698989868,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143328_0008,DJI_20260107143328_0008,7,water,0,0,,,,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143328_0008,DJI_20260107143328_0008,8,vehicle_temporary_object,0,0,,,,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143328_0008,DJI_20260107143328_0008,9,unclear_ignore,0,0,,,,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,0,no_data_unreviewed,0,0,,,,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,1,roof,163090,163090,16.83104133605957,16.4782657623291,6.4593353271484375,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,2,concrete_pavement,75342,75342,18.074628829956055,16.327783584594727,6.04102897644043,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,3,asphalt_road,0,0,,,,"QA statistics only, not final delta T analysis"
