pair_id,image_id,shadow_flag,pixel_count,valid_temperature_pixel_count,mean_temperature_c,median_temperature_c,std_temperature_c,qa_label
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,0,327680,327680,14.280268669128418,13.014337539672852,4.112022399902344,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,1,0,0,,,,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,0,327680,327680,16.311845779418945,14.606592178344727,5.339400768280029,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,1,0,0,,,,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143328_0008,DJI_20260107143328_0008,0,327680,327680,16.052845001220703,14.325769424438477,5.550495624542236,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143328_0008,DJI_20260107143328_0008,1,0,0,,,,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,0,327680,327680,16.10594367980957,14.298120498657227,5.814712047576904,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,1,0,0,,,,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,DJI_20260107143401_0011,0,327680,327680,16.039098739624023,14.599115371704102,6.440695762634277,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,DJI_20260107143401_0011,1,0,0,,,,"QA statistics only, not final delta T analysis"
