pair_id,image_id,physical_class_id,physical_class_name,total_valid_pixels_in_class,below_0_pixel_count,below_0_percent_of_class_valid,minimum_temperature_c,median_temperature_c,mean_temperature_c,below_minus_5_pixel_count,below_minus_10_pixel_count,taxonomy_note
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,0,no_data_unreviewed,0,0,0.0,,,,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,1,roof,30014,109,0.363164,-19.389074,12.247217,13.367774,43,33,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,2,concrete_pavement,20871,0,0.0,4.845605,18.125727,18.68742,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,3,asphalt_road,0,0,0.0,,,,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,4,vegetation_tree,262255,19,0.007245,-9.72431,10.191156,10.476695,8,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,5,grass_low_vegetation,14540,0,0.0,10.04571,21.289667,20.92621,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,6,bare_soil,0,0,0.0,,,,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,7,water,0,0,0.0,,,,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,8,vehicle_temporary_object,0,0,0.0,,,,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,9,unclear_ignore,0,0,0.0,,,,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,0,no_data_unreviewed,0,0,0.0,,,,0,0,physical surface-cover class only; shadow state is separate
