pair_id,image_id,shadow_flag,shadow_name,total_valid_pixels_in_shadow_state,below_0_pixel_count,below_0_percent_of_shadow_state_valid,minimum_temperature_c,median_temperature_c,mean_temperature_c,below_minus_5_pixel_count,below_minus_10_pixel_count,taxonomy_note
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,0,non_shadow,327680,128,0.039062,-19.389074,10.485468,11.728144,51,33,"shadow is binary state mask: 1=shadow, 0=non-shadow; not a physical class"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,1,shadow,0,0,0.0,,,,0,0,"shadow is binary state mask: 1=shadow, 0=non-shadow; not a physical class"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,0,non_shadow,327680,140,0.042725,-24.187902,11.952875,13.63475,116,90,"shadow is binary state mask: 1=shadow, 0=non-shadow; not a physical class"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,1,shadow,0,0,0.0,,,,0,0,"shadow is binary state mask: 1=shadow, 0=non-shadow; not a physical class"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143328_0008,DJI_20260107143328_0008,0,non_shadow,327680,285,0.086975,-26.157614,11.65954,13.364334,183,129,"shadow is binary state mask: 1=shadow, 0=non-shadow; not a physical class"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143328_0008,DJI_20260107143328_0008,1,shadow,0,0,0.0,,,,0,0,"shadow is binary state mask: 1=shadow, 0=non-shadow; not a physical class"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,0,non_shadow,327680,828,0.252686,-25.896322,11.512873,13.299032,585,417,"shadow is binary state mask: 1=shadow, 0=non-shadow; not a physical class"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,1,shadow,0,0,0.0,,,,0,0,"shadow is binary state mask: 1=shadow, 0=non-shadow; not a physical class"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,DJI_20260107143401_0011,0,non_shadow,327680,5309,1.620178,-31.229254,11.806177,13.23331,4014,2953,"shadow is binary state mask: 1=shadow, 0=non-shadow; not a physical class"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,DJI_20260107143401_0011,1,shadow,0,0,0.0,,,,0,0,"shadow is binary state mask: 1=shadow, 0=non-shadow; not a physical class"
