pair_id,image_id,physical_class_id,physical_class_name,total_valid_pixels_in_class,below_0_pixel_count,below_0_percent_of_class_valid,minimum_temperature_c,median_temperature_c,mean_temperature_c,below_minus_5_pixel_count,below_minus_10_pixel_count,taxonomy_note
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,0,no_data_unreviewed,0,0,0.0,,,,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,1,roof,30014,81,0.269874,-17.569128,14.826075,15.953232,35,30,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,2,concrete_pavement,20871,0,0.0,7.163049,20.828333,21.394547,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,3,asphalt_road,0,0,0.0,,,,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,4,vegetation_tree,262255,14,0.005338,-7.765814,12.711908,13.001874,6,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,5,grass_low_vegetation,14540,0,0.0,12.560633,24.035883,23.673088,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,6,bare_soil,0,0,0.0,,,,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,7,water,0,0,0.0,,,,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,8,vehicle_temporary_object,0,0,0.0,,,,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,9,unclear_ignore,0,0,0.0,,,,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,0,no_data_unreviewed,0,0,0.0,,,,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,1,roof,91251,130,0.142464,-22.298025,15.886438,16.993244,105,80,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,2,concrete_pavement,67562,0,0.0,3.957757,16.111902,17.631384,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,3,asphalt_road,0,0,0.0,,,,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,4,vegetation_tree,145962,0,0.0,1.877374,13.852839,14.283913,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,5,grass_low_vegetation,14241,0,0.0,11.206568,22.994623,22.299904,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,6,bare_soil,8664,0,0.0,7.93847,25.231531,23.167374,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,7,water,0,0,0.0,,,,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,8,vehicle_temporary_object,0,0,0.0,,,,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,9,unclear_ignore,0,0,0.0,,,,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143328_0008,DJI_20260107143328_0008,0,no_data_unreviewed,0,0,0.0,,,,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143328_0008,DJI_20260107143328_0008,1,roof,124088,222,0.178905,-24.257025,16.958307,17.451427,168,108,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143328_0008,DJI_20260107143328_0008,2,concrete_pavement,64721,0,0.0,4.90191,15.906672,17.365334,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143328_0008,DJI_20260107143328_0008,3,asphalt_road,0,0,0.0,,,,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143328_0008,DJI_20260107143328_0008,4,vegetation_tree,130564,0,0.0,0.043146,13.194208,13.682805,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143328_0008,DJI_20260107143328_0008,5,grass_low_vegetation,6749,0,0.0,12.967676,23.013514,22.140959,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143328_0008,DJI_20260107143328_0008,6,bare_soil,1558,0,0.0,14.325769,22.715235,22.382141,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143328_0008,DJI_20260107143328_0008,7,water,0,0,0.0,,,,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143328_0008,DJI_20260107143328_0008,8,vehicle_temporary_object,0,0,0.0,,,,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143328_0008,DJI_20260107143328_0008,9,unclear_ignore,0,0,0.0,,,,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,0,no_data_unreviewed,0,0,0.0,,,,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,1,roof,163090,707,0.433503,-23.785177,16.478266,16.831041,505,345,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,2,concrete_pavement,75342,6,0.007964,-0.975104,16.327784,18.074629,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,3,asphalt_road,0,0,0.0,,,,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,4,vegetation_tree,86417,0,0.0,1.191919,12.63949,13.172105,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,5,grass_low_vegetation,2831,0,0.0,8.700098,11.354609,11.497225,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,6,bare_soil,0,0,0.0,,,,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,7,water,0,0,0.0,,,,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,8,vehicle_temporary_object,0,0,0.0,,,,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,9,unclear_ignore,0,0,0.0,,,,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,DJI_20260107143401_0011,0,no_data_unreviewed,0,0,0.0,,,,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,DJI_20260107143401_0011,1,roof,161158,3236,2.007967,-29.153143,18.426386,17.725393,2331,1670,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,DJI_20260107143401_0011,2,concrete_pavement,94360,1429,1.514413,-27.286627,14.900324,15.618565,1170,854,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,DJI_20260107143401_0011,3,asphalt_road,0,0,0.0,,,,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,DJI_20260107143401_0011,4,vegetation_tree,71131,0,0.0,7.710748,12.488489,12.759739,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,DJI_20260107143401_0011,5,grass_low_vegetation,1031,0,0.0,11.808374,16.853174,17.189188,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,DJI_20260107143401_0011,6,bare_soil,0,0,0.0,,,,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,DJI_20260107143401_0011,7,water,0,0,0.0,,,,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,DJI_20260107143401_0011,8,vehicle_temporary_object,0,0,0.0,,,,0,0,physical surface-cover class only; shadow state is separate
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,DJI_20260107143401_0011,9,unclear_ignore,0,0,0.0,,,,0,0,physical surface-cover class only; shadow state is separate
