pair_id,image_id,shadow_flag,shadow_name,total_valid_pixels_in_shadow_state,below_0_pixel_count,below_0_percent_of_shadow_state_valid,minimum_temperature_c,median_temperature_c,mean_temperature_c,below_minus_5_pixel_count,below_minus_10_pixel_count,taxonomy_note
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,0,non_shadow,327680,95,0.028992,-17.569128,13.014338,14.280269,41,30,"shadow is binary state mask: 1=shadow, 0=non-shadow; not a physical class"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,1,shadow,0,0,0.0,,,,0,0,"shadow is binary state mask: 1=shadow, 0=non-shadow; not a physical class"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,0,non_shadow,327680,130,0.039673,-22.298025,14.606592,16.311846,105,80,"shadow is binary state mask: 1=shadow, 0=non-shadow; not a physical class"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,1,shadow,0,0,0.0,,,,0,0,"shadow is binary state mask: 1=shadow, 0=non-shadow; not a physical class"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143328_0008,DJI_20260107143328_0008,0,non_shadow,327680,222,0.067749,-24.257025,14.325769,16.052845,168,108,"shadow is binary state mask: 1=shadow, 0=non-shadow; not a physical class"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143328_0008,DJI_20260107143328_0008,1,shadow,0,0,0.0,,,,0,0,"shadow is binary state mask: 1=shadow, 0=non-shadow; not a physical class"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,0,non_shadow,327680,713,0.21759,-23.785177,14.29812,16.105944,505,345,"shadow is binary state mask: 1=shadow, 0=non-shadow; not a physical class"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,1,shadow,0,0,0.0,,,,0,0,"shadow is binary state mask: 1=shadow, 0=non-shadow; not a physical class"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,DJI_20260107143401_0011,0,non_shadow,327680,4665,1.423645,-29.153143,14.599115,16.039099,3501,2524,"shadow is binary state mask: 1=shadow, 0=non-shadow; not a physical class"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,DJI_20260107143401_0011,1,shadow,0,0,0.0,,,,0,0,"shadow is binary state mask: 1=shadow, 0=non-shadow; not a physical class"
