observation_id,analysis_variant,image_id,cell_id,exclusion_reason,total_mapped_pixel_count,valid_temperature_pixel_count,valid_temperature_coverage_fraction
DJI_20260107143344_0009__LUHK_r02582_c04503,all_finite,DJI_20260107143344_0009,LUHK_r02582_c04503,no_mapped_thermal_pixels; no_valid_temperature_pixels_after_variant_rule,0,0,0.0
DJI_20260107143344_0009__LUHK_r02583_c04503,all_finite,DJI_20260107143344_0009,LUHK_r02583_c04503,no_mapped_thermal_pixels; no_valid_temperature_pixels_after_variant_rule,0,0,0.0
DJI_20260107143344_0009__LUHK_r02584_c04503,all_finite,DJI_20260107143344_0009,LUHK_r02584_c04503,no_mapped_thermal_pixels; no_valid_temperature_pixels_after_variant_rule,0,0,0.0
DJI_20260107143344_0009__LUHK_r02585_c04503,all_finite,DJI_20260107143344_0009,LUHK_r02585_c04503,no_mapped_thermal_pixels; no_valid_temperature_pixels_after_variant_rule,0,0,0.0
DJI_20260107143344_0009__LUHK_r02586_c04503,all_finite,DJI_20260107143344_0009,LUHK_r02586_c04503,no_mapped_thermal_pixels; no_valid_temperature_pixels_after_variant_rule,0,0,0.0
DJI_20260107143344_0009__LUHK_r02587_c04503,all_finite,DJI_20260107143344_0009,LUHK_r02587_c04503,no_mapped_thermal_pixels; no_valid_temperature_pixels_after_variant_rule,0,0,0.0
DJI_20260107143344_0009__LUHK_r02588_c04503,all_finite,DJI_20260107143344_0009,LUHK_r02588_c04503,no_mapped_thermal_pixels; no_valid_temperature_pixels_after_variant_rule,0,0,0.0
DJI_20260107143344_0009__LUHK_r02589_c04503,all_finite,DJI_20260107143344_0009,LUHK_r02589_c04503,no_mapped_thermal_pixels; no_valid_temperature_pixels_after_variant_rule,0,0,0.0
DJI_20260107143344_0009__LUHK_r02590_c04503,all_finite,DJI_20260107143344_0009,LUHK_r02590_c04503,no_mapped_thermal_pixels; no_valid_temperature_pixels_after_variant_rule,0,0,0.0
DJI_20260107143344_0009__LUHK_r02591_c04503,all_finite,DJI_20260107143344_0009,LUHK_r02591_c04503,no_mapped_thermal_pixels; no_valid_temperature_pixels_after_variant_rule,0,0,0.0
DJI_20260107143344_0009__LUHK_r02592_c04503,all_finite,DJI_20260107143344_0009,LUHK_r02592_c04503,no_mapped_thermal_pixels; no_valid_temperature_pixels_after_variant_rule,0,0,0.0
DJI_20260107143344_0009__LUHK_r02593_c04503,all_finite,DJI_20260107143344_0009,LUHK_r02593_c04503,no_mapped_thermal_pixels; no_valid_temperature_pixels_after_variant_rule,0,0,0.0
DJI_20260107143344_0009__LUHK_r02594_c04503,all_finite,DJI_20260107143344_0009,LUHK_r02594_c04503,no_mapped_thermal_pixels; no_valid_temperature_pixels_after_variant_rule,0,0,0.0
DJI_20260107143344_0009__LUHK_r02595_c04503,all_finite,DJI_20260107143344_0009,LUHK_r02595_c04503,no_mapped_thermal_pixels; no_valid_temperature_pixels_after_variant_rule,0,0,0.0
DJI_20260107143344_0009__LUHK_r02596_c04503,all_finite,DJI_20260107143344_0009,LUHK_r02596_c04503,no_mapped_thermal_pixels; no_valid_temperature_pixels_after_variant_rule,0,0,0.0
DJI_20260107143344_0009__LUHK_r02597_c04503,all_finite,DJI_20260107143344_0009,LUHK_r02597_c04503,no_mapped_thermal_pixels; no_valid_temperature_pixels_after_variant_rule,0,0,0.0
DJI_20260107143344_0009__LUHK_r02598_c04503,all_finite,DJI_20260107143344_0009,LUHK_r02598_c04503,no_mapped_thermal_pixels; no_valid_temperature_pixels_after_variant_rule,0,0,0.0
DJI_20260107143344_0009__LUHK_r02599_c04503,all_finite,DJI_20260107143344_0009,LUHK_r02599_c04503,no_mapped_thermal_pixels; no_valid_temperature_pixels_after_variant_rule,0,0,0.0
DJI_20260107143344_0009__LUHK_r02600_c04503,all_finite,DJI_20260107143344_0009,LUHK_r02600_c04503,no_mapped_thermal_pixels; no_valid_temperature_pixels_after_variant_rule,0,0,0.0
DJI_20260107143344_0009__LUHK_r02601_c04503,all_finite,DJI_20260107143344_0009,LUHK_r02601_c04503,no_mapped_thermal_pixels; no_valid_temperature_pixels_after_variant_rule,0,0,0.0
DJI_20260107143344_0009__LUHK_r02602_c04503,all_finite,DJI_20260107143344_0009,LUHK_r02602_c04503,no_mapped_thermal_pixels; no_valid_temperature_pixels_after_variant_rule,0,0,0.0
DJI_20260107143344_0009__LUHK_r02603_c04503,all_finite,DJI_20260107143344_0009,LUHK_r02603_c04503,no_mapped_thermal_pixels; no_valid_temperature_pixels_after_variant_rule,0,0,0.0
