image_id,physical_surface_cover_class,observation_count,numeric_observation_count,image_count,unique_cell_count,mean_delta_t_c,median_delta_t_c,std_delta_t_c,min_delta_t_c,max_delta_t_c,q1_delta_t_c,q3_delta_t_c,iqr_delta_t_c,p05_delta_t_c,p95_delta_t_c,standard_error_delta_t_c,qa_warning_count,provisional_result_note
DJI_20260107143259_0005,concrete_pavement,80,80,1,80,6.551022,5.52836,4.893438,-1.277061,16.167591,2.289103,10.457283,8.16818,0.168685,14.256098,0.547103,80,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.
DJI_20260107143259_0005,grass_low_vegetation,38,38,1,38,9.16987,9.349172,3.097703,-0.425209,14.125422,8.225224,11.035782,2.810558,2.859126,13.619891,0.502514,38,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.
DJI_20260107143259_0005,roof,100,100,1,100,2.214917,1.578025,3.84947,-3.639902,11.474674,-0.697985,5.268312,5.966297,-3.30792,9.17835,0.384947,100,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.
DJI_20260107143259_0005,vegetation_tree,536,536,1,536,-0.364971,-0.549436,1.68613,-4.258488,8.855402,-1.573158,0.504646,2.077804,-2.671668,2.730797,0.07283,536,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.
DJI_20260107143320_0007,bare_soil,27,27,1,27,8.564248,10.889967,6.176357,-1.906529,16.347248,2.190017,12.946841,10.756823,-1.323906,15.839895,1.18864,27,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.
DJI_20260107143320_0007,concrete_pavement,228,228,1,228,3.856667,2.495439,4.350787,-3.676247,16.771496,0.583196,6.271922,5.688726,-1.40213,13.048166,0.288138,228,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.
DJI_20260107143320_0007,grass_low_vegetation,48,48,1,48,8.051138,8.889665,3.326345,1.132684,15.248728,5.773776,10.137892,4.364116,2.615842,12.918568,0.480117,48,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.
DJI_20260107143320_0007,roof,234,234,1,234,3.905488,3.912796,5.599388,-5.351643,17.204003,-1.119619,8.140838,9.260457,-3.713854,13.859538,0.366043,234,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.
DJI_20260107143320_0007,vegetation_tree,366,366,1,366,1.342028,0.927566,2.401789,-3.631613,12.871148,-0.198441,2.081017,2.279459,-1.26729,5.999427,0.125544,366,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.
DJI_20260107143328_0008,bare_soil,8,8,1,8,8.608994,8.845709,1.111231,6.924615,10.308611,7.767676,9.295184,1.527508,7.120819,9.959114,0.392879,8,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.
