analysis_family,group_name,display_name,n_pixels_full,n_pixels_sampled,n_images,n_images_full,mean_sampled,median_sampled,std_sampled,min_sampled,q05_sampled,q25_sampled,q75_sampled,q95_sampled,max_sampled,sampling_seed,sampling_method,kde_status,kde_bandwidth_method,eligibility_or_skipped_reason,source_sample_family,bootstrap_median_ci_lower,bootstrap_median_ci_upper
overall,All accepted pilot pixels,All accepted pilot pixels,1638400,12500,5,5,5.409239560508728,3.6750431060791016,5.6347440517509035,-38.8764762878418,-0.5616512298583984,1.7119083404541016,8.376819610595703,16.670013427734375,30.360673904418945,20260715,spatially_thinned_stratified_pseudorandom,eligible,scott,,image_comparison,,
luhk,31 | GIC / open space,31 | GIC / open space,1523465,10000,5,5,5.680811554574967,3.9014225006103516,5.78137508457857,-38.8764762878418,-0.6375789642333984,1.8290319442749023,9.050159454345703,16.972705841064453,30.360673904418945,20260715,spatially_thinned_stratified_pseudorandom,eligible,scott,,luhk,,
luhk,51 | Other urban / built-up land,51 | Other urban / built-up land,200,4,1,1,3.6366519927978516,3.335916519165039,1.1905329899120374,2.5432071685791016,2.6564395904541014,3.1093692779541016,3.863199234008789,5.037894058227538,5.331567764282227,20260715,spatially_thinned_stratified_pseudorandom,insufficient_sample,not_applied,sampled n < 100,luhk,,
luhk,71 | Woodland / shrubland / grassland / wetland,71 | Woodland / shrubland / grassland / wetland,76074,1346,4,4,2.311179603191223,2.0899295806884766,1.664700601461734,-0.7894954681396484,0.27300453186035156,1.1821537017822266,3.169699192047119,4.804834365844727,15.968225479125977,20260715,spatially_thinned_stratified_pseudorandom,eligible,scott,,luhk,,
luhk,72 | Woodland / shrubland / grassland / wetland,72 | Woodland / shrubland / grassland / wetland,31408,613,1,1,2.0096502288519655,1.5606327056884766,1.8043577357076357,-0.5616512298583984,0.19719886779785156,0.8035526275634766,2.8453922271728516,4.910486221313475,17.48052406311035,20260715,spatially_thinned_stratified_pseudorandom,eligible,scott,,luhk,,
luhk,73 | Woodland / shrubland / grassland / wetland,73 | Woodland / shrubland / grassland / wetland,7253,150,2,2,1.5283211008707682,1.068643569946289,1.195809111026453,-0.8654842376708984,0.19719886779785156,0.5762577056884766,2.5432071685791016,3.6577229499816877,4.880395889282227,20260715,spatially_thinned_stratified_pseudorandom,eligible,scott,,luhk,,
surface_cover,bare_soil,Bare soil,10222,221,2,2,11.842671571274149,13.331781387329102,5.7017370486546035,-0.683135986328125,1.666534423828125,7.83819580078125,15.915008544921875,19.017486572265625,20.609283447265625,20260715,spatially_thinned_stratified_pseudorandom,eligible,scott,,surface_cover,12.767181396484375,14.000787734985352
surface_cover,concrete_pavement,Concrete pavement,322856,6677,5,5,6.874554135261297,5.556970596313477,5.743351433583216,-35.25141525268555,0.3943061828613281,2.965930938720703,10.320362091064453,17.502899169921875,37.98194885253906,20260715,spatially_thinned_stratified_pseudorandom,eligible,scott,,surface_cover,5.406732559204102,5.707605361938477
surface_cover,grass_low_vegetation,Grass / low vegetation,39392,770,5,5,10.567997910140397,11.9466552734375,4.5633715387712686,-0.21244430541992188,1.9220416069030763,7.28361701965332,13.767734050750732,16.736595630645752,21.577842712402344,20260715,spatially_thinned_stratified_pseudorandom,eligible,scott,,surface_cover,11.648956298828125,12.170654296875
surface_cover,roof,Roof,569601,9406,5,5,6.92577923619187,6.413726806640625,6.769632064004474,-38.8764762878418,-1.7324028015136719,1.6059150695800781,11.737903594970703,18.560474395751953,34.4520263671875,20260715,spatially_thinned_stratified_pseudorandom,eligible,scott,,surface_cover,6.202686309814453,6.623774003982544
surface_cover,vegetation_tree,Vegetation / tree canopy,696329,10000,5,5,3.203602381372452,2.72442626953125,2.4834084076252254,-4.066534519195557,0.34887123107910156,1.6815376281738281,4.157501220703125,7.583612442016602,30.454404830932617,20260715,spatially_thinned_stratified_pseudorandom,eligible,scott,,surface_cover,2.6942081451416016,2.7697086334228516
image_comparison,DJI_20260107143259_0005,DJI 2026-01-07 143259_0005,327680,2500,1,1,3.2211602170944214,2.0143375396728516,4.028876117859495,-10.921850204467773,-0.2617671966552732,0.8035526275634766,3.8260746002197266,13.258783340454102,24.54711151123047,20260715,spatially_thinned_stratified_pseudorandom,eligible,scott,,image_comparison,,
image_comparison,DJI_20260107143320_0007,DJI 2026-01-07 143320_0007,327680,2500,1,1,5.853035580635071,4.157501220703125,5.416743393614623,-30.495437622070312,-0.607208251953125,2.271270751953125,8.21240234375,17.351318359375,30.147520065307617,20260715,spatially_thinned_stratified_pseudorandom,eligible,scott,,image_comparison,,
image_comparison,DJI_20260107143328_0008,DJI 2026-01-07 143328_0008,327680,2500,1,1,5.635716714859009,3.9011173248291016,5.546700932746716,-9.449651718139648,-0.9414730072021484,1.6362857818603516,8.706537246704102,16.9399356842041,26.66875457763672,20260715,spatially_thinned_stratified_pseudorandom,eligible,scott,,image_comparison,,
image_comparison,DJI_20260107143344_0009,DJI 2026-01-07 143344_0009,327680,2500,1,1,6.123376836776734,4.398120880126953,5.6771285303141585,-29.311565399169922,-0.3642387390136719,1.9839668273925781,9.572925567626953,17.354480743408182,30.360673904418945,20260715,spatially_thinned_stratified_pseudorandom,eligible,scott,,image_comparison,,
image_comparison,DJI_20260107143401_0011,DJI 2026-01-07 143401_0011,327680,2500,1,1,6.212908453178406,4.774677276611328,6.636233923510346,-38.8764762878418,-0.7476783752441404,2.361927032470703,10.618549346923828,16.822406768798828,28.06541633605957,20260715,spatially_thinned_stratified_pseudorandom,eligible,scott,,image_comparison,,
within_gic_surface_cover,31 | GIC / open space | bare_soil,Bare soil,10222,221,2,2,11.842671571274149,13.331781387329102,5.7017370486546035,-0.683135986328125,1.666534423828125,7.83819580078125,15.915008544921875,19.017486572265625,20.609283447265625,20260715,spatially_thinned_stratified_pseudorandom,eligible,scott,,luhk_surface_cover,,
within_gic_surface_cover,31 | GIC / open space | concrete_pavement,Concrete pavement,322791,6673,5,5,6.870254332026352,5.556970596313477,5.741716495704451,-35.25141525268555,0.3943061828613281,2.965930938720703,10.320362091064453,17.502124786376953,37.98194885253906,20260715,spatially_thinned_stratified_pseudorandom,eligible,scott,,luhk_surface_cover,,
within_gic_surface_cover,31 | GIC / open space | grass_low_vegetation,Grass / low vegetation,39392,770,5,5,10.567997910140397,11.9466552734375,4.5633715387712686,-0.21244430541992188,1.9220416069030763,7.28361701965332,13.767734050750732,16.736595630645752,21.577842712402344,20260715,spatially_thinned_stratified_pseudorandom,eligible,scott,,luhk_surface_cover,,
within_gic_surface_cover,31 | GIC / open space | roof,Roof,569132,9398,5,5,6.924754101358898,6.413726806640625,6.771031675206373,-38.8764762878418,-1.7324028015136719,1.6059150695800781,11.737903594970703,18.560474395751953,34.4520263671875,20260715,spatially_thinned_stratified_pseudorandom,eligible,scott,,luhk_surface_cover,,
within_gic_surface_cover,31 | GIC / open space | vegetation_tree,Vegetation / tree canopy,581928,10000,5,5,3.216425252342224,2.72442626953125,2.536870898613228,-4.066534519195557,0.27300453186035156,1.6815376281738281,4.202386856079102,7.734003067016602,30.454404830932617,20260715,spatially_thinned_stratified_pseudorandom,eligible,scott,,luhk_surface_cover,,
surface_cover_shadow,bare_soil | shadow=0,Bare soil | shadow=0,10222,221,2,2,11.842671571274149,13.331781387329102,5.7017370486546035,-0.683135986328125,1.666534423828125,7.83819580078125,15.915008544921875,19.017486572265625,20.609283447265625,20260715,spatially_thinned_stratified_pseudorandom,not_estimable_as_contrast,not_applied,no valid shadow_flag=1 pixels,surface_cover_shadow,,
surface_cover_shadow,concrete_pavement | shadow=0,Concrete pavement | shadow=0,322856,6677,5,5,6.874554135261297,5.556970596313477,5.743351433583216,-35.25141525268555,0.3943061828613281,2.965930938720703,10.320362091064453,17.502899169921875,37.98194885253906,20260715,spatially_thinned_stratified_pseudorandom,not_estimable_as_contrast,not_applied,no valid shadow_flag=1 pixels,surface_cover_shadow,,
surface_cover_shadow,grass_low_vegetation | shadow=0,Grass / low vegetation | shadow=0,39392,770,5,5,10.567997910140397,11.9466552734375,4.5633715387712686,-0.21244430541992188,1.9220416069030763,7.28361701965332,13.767734050750732,16.736595630645752,21.577842712402344,20260715,spatially_thinned_stratified_pseudorandom,not_estimable_as_contrast,not_applied,no valid shadow_flag=1 pixels,surface_cover_shadow,,
surface_cover_shadow,roof | shadow=0,Roof | shadow=0,569601,9406,5,5,6.92577923619187,6.413726806640625,6.769632064004474,-38.8764762878418,-1.7324028015136719,1.6059150695800781,11.737903594970703,18.560474395751953,34.4520263671875,20260715,spatially_thinned_stratified_pseudorandom,not_estimable_as_contrast,not_applied,no valid shadow_flag=1 pixels,surface_cover_shadow,,
surface_cover_shadow,vegetation_tree | shadow=0,Vegetation / tree canopy | shadow=0,696329,10000,5,5,3.203602381372452,2.72442626953125,2.4834084076252254,-4.066534519195557,0.34887123107910156,1.6815376281738281,4.157501220703125,7.583612442016602,30.454404830932617,20260715,spatially_thinned_stratified_pseudorandom,not_estimable_as_contrast,not_applied,no valid shadow_flag=1 pixels,surface_cover_shadow,,
