analysis_family,group_a,group_b,n_full_a,n_full_b,n_sampled_a,n_sampled_b,n_images_a,n_images_b,effect_size_name,effect_size,mean_difference_a_minus_b,median_difference_a_minus_b,interpretation_status,skipped_reason
luhk,31 | GIC / open space,51 | Other urban / built-up land,1523465,200,10000,4,5,1,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk,31 | GIC / open space,71 | Woodland / shrubland / grassland / wetland,1523465,76074,10000,1346,5,4,rank_biserial_correlation,0.3875124814264488,3.369631951383744,1.811492919921875,exploratory_effect_size,
luhk,31 | GIC / open space,72 | Woodland / shrubland / grassland / wetland,1523465,31408,10000,613,5,1,rank_biserial_correlation,,,,skipped,At least one group occurs in fewer than 2 images.
luhk,31 | GIC / open space,73 | Woodland / shrubland / grassland / wetland,1523465,7253,10000,150,5,2,rank_biserial_correlation,0.548144,4.152490453704198,2.8327789306640625,exploratory_effect_size,
luhk,51 | Other urban / built-up land,71 | Woodland / shrubland / grassland / wetland,200,76074,4,1346,1,4,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk,51 | Other urban / built-up land,72 | Woodland / shrubland / grassland / wetland,200,31408,4,613,1,1,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk,51 | Other urban / built-up land,73 | Woodland / shrubland / grassland / wetland,200,7253,4,150,1,2,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk,71 | Woodland / shrubland / grassland / wetland,72 | Woodland / shrubland / grassland / wetland,76074,31408,1346,613,4,1,rank_biserial_correlation,,,,skipped,At least one group occurs in fewer than 2 images.
luhk,71 | Woodland / shrubland / grassland / wetland,73 | Woodland / shrubland / grassland / wetland,76074,7253,1346,150,4,2,rank_biserial_correlation,0.3031797919762258,0.7828585023204546,1.0212860107421875,exploratory_effect_size,
luhk,72 | Woodland / shrubland / grassland / wetland,73 | Woodland / shrubland / grassland / wetland,31408,7253,613,150,1,2,rank_biserial_correlation,,,,skipped,At least one group occurs in fewer than 2 images.
surface_cover,bare_soil,concrete_pavement,10222,322856,221,6677,2,5,rank_biserial_correlation,0.4569031123929854,4.968117436012852,7.774810791015625,exploratory_effect_size,
surface_cover,bare_soil,grass_low_vegetation,10222,39392,221,770,2,5,rank_biserial_correlation,0.20176294293941344,1.2746736611337521,1.3851261138916016,exploratory_effect_size,
surface_cover,bare_soil,roof,10222,569601,221,9406,2,5,rank_biserial_correlation,0.4388577426750808,4.916892335082279,6.918054580688477,exploratory_effect_size,
surface_cover,bare_soil,vegetation_tree,10222,696329,221,10000,2,5,rank_biserial_correlation,0.7480728506787331,8.639069189901697,10.607355117797852,exploratory_effect_size,
surface_cover,concrete_pavement,grass_low_vegetation,322856,39392,6677,770,5,5,rank_biserial_correlation,-0.41069556473180857,-3.6934437748791,-6.389684677124023,exploratory_effect_size,
surface_cover,concrete_pavement,roof,322856,569601,6677,9406,5,5,rank_biserial_correlation,0.012222958518060656,-0.051225100930572864,-0.8567562103271484,exploratory_effect_size,
surface_cover,concrete_pavement,vegetation_tree,322856,696329,6677,10000,5,5,rank_biserial_correlation,0.4608045379661525,3.670951753888845,2.8325443267822266,exploratory_effect_size,
surface_cover,grass_low_vegetation,roof,39392,569601,770,9406,5,5,rank_biserial_correlation,0.3635887289406319,3.642218673948527,5.532928466796875,exploratory_effect_size,
surface_cover,grass_low_vegetation,vegetation_tree,39392,696329,770,10000,5,5,rank_biserial_correlation,0.7929446753246754,7.364395528767945,9.22222900390625,exploratory_effect_size,
surface_cover,roof,vegetation_tree,569601,696329,9406,10000,5,5,rank_biserial_correlation,0.3333029236657452,3.722176854819418,3.689300537109375,exploratory_effect_size,
luhk_surface_cover,31 | GIC / open space | bare_soil,31 | GIC / open space | concrete_pavement,10222,322791,221,6673,2,5,rank_biserial_correlation,0.4572217479367451,4.972417239247797,7.774810791015625,exploratory_effect_size,
luhk_surface_cover,31 | GIC / open space | bare_soil,31 | GIC / open space | grass_low_vegetation,10222,39392,221,770,2,5,rank_biserial_correlation,0.20176294293941344,1.2746736611337521,1.3851261138916016,exploratory_effect_size,
luhk_surface_cover,31 | GIC / open space | bare_soil,31 | GIC / open space | roof,10222,569132,221,9398,2,5,rank_biserial_correlation,0.43891258272916445,4.917917469915251,6.918054580688477,exploratory_effect_size,
luhk_surface_cover,31 | GIC / open space | bare_soil,31 | GIC / open space | vegetation_tree,10222,581928,221,10000,2,5,rank_biserial_correlation,0.7474570135746605,8.626246318931925,10.607355117797852,exploratory_effect_size,
luhk_surface_cover,31 | GIC / open space | bare_soil,51 | Other urban / built-up land | vegetation_tree,10222,200,221,4,2,1,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,31 | GIC / open space | bare_soil,71 | Woodland / shrubland / grassland / wetland | concrete_pavement,10222,5,221,2,2,1,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,31 | GIC / open space | bare_soil,71 | Woodland / shrubland / grassland / wetland | roof,10222,365,221,15,2,2,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,31 | GIC / open space | bare_soil,71 | Woodland / shrubland / grassland / wetland | vegetation_tree,10222,75704,221,1338,2,4,rank_biserial_correlation,0.812213812741378,9.553600080505968,11.241851806640625,exploratory_effect_size,
luhk_surface_cover,31 | GIC / open space | bare_soil,72 | Woodland / shrubland / grassland / wetland | concrete_pavement,10222,60,221,6,2,1,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,31 | GIC / open space | bare_soil,72 | Woodland / shrubland / grassland / wetland | roof,10222,104,221,7,2,1,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,31 | GIC / open space | bare_soil,72 | Woodland / shrubland / grassland / wetland | vegetation_tree,10222,31244,221,609,2,1,rank_biserial_correlation,,,,skipped,At least one group occurs in fewer than 2 images.
luhk_surface_cover,31 | GIC / open space | bare_soil,73 | Woodland / shrubland / grassland / wetland | vegetation_tree,10222,7253,221,150,2,2,rank_biserial_correlation,0.8686274509803922,10.314350470403381,12.263137817382812,exploratory_effect_size,
luhk_surface_cover,31 | GIC / open space | concrete_pavement,31 | GIC / open space | grass_low_vegetation,322791,39392,6673,770,5,5,rank_biserial_correlation,-0.41111437640734805,-3.6977435781140446,-6.389684677124023,exploratory_effect_size,
