analysis_family,group_name,full_eligible_pixel_count,sampled_pixel_count,full_image_count,sampled_image_count,sampling_fraction,sampling_seed,sampling_method
image_comparison,DJI_20260107143259_0005,327680,2500,1,1,0.00762939453125,20260715,spatially_thinned_stratified_pseudorandom
image_comparison,DJI_20260107143320_0007,327680,2500,1,1,0.00762939453125,20260715,spatially_thinned_stratified_pseudorandom
image_comparison,DJI_20260107143328_0008,327680,2500,1,1,0.00762939453125,20260715,spatially_thinned_stratified_pseudorandom
image_comparison,DJI_20260107143344_0009,327680,2500,1,1,0.00762939453125,20260715,spatially_thinned_stratified_pseudorandom
image_comparison,DJI_20260107143401_0011,327680,2500,1,1,0.00762939453125,20260715,spatially_thinned_stratified_pseudorandom
luhk,31 | GIC / open space,1523465,10000,5,5,0.006563984075774632,20260715,spatially_thinned_stratified_pseudorandom
luhk,51 | Other urban / built-up land,200,4,1,1,0.02,20260715,spatially_thinned_stratified_pseudorandom
luhk,71 | Woodland / shrubland / grassland / wetland,76074,1346,4,4,0.017693298630281042,20260715,spatially_thinned_stratified_pseudorandom
luhk,72 | Woodland / shrubland / grassland / wetland,31408,613,1,1,0.019517320427916453,20260715,spatially_thinned_stratified_pseudorandom
luhk,73 | Woodland / shrubland / grassland / wetland,7253,150,2,2,0.020681097476906107,20260715,spatially_thinned_stratified_pseudorandom
luhk_surface_cover,31 | GIC / open space | bare_soil,10222,221,2,2,0.021620035218156915,20260715,spatially_thinned_stratified_pseudorandom
luhk_surface_cover,31 | GIC / open space | concrete_pavement,322791,6673,5,5,0.020672819254564097,20260715,spatially_thinned_stratified_pseudorandom
luhk_surface_cover,31 | GIC / open space | grass_low_vegetation,39392,770,5,5,0.019547116165718928,20260715,spatially_thinned_stratified_pseudorandom
luhk_surface_cover,31 | GIC / open space | roof,569132,9398,5,5,0.01651286520525994,20260715,spatially_thinned_stratified_pseudorandom
luhk_surface_cover,31 | GIC / open space | vegetation_tree,581928,10000,5,5,0.017184256471590987,20260715,spatially_thinned_stratified_pseudorandom
luhk_surface_cover,51 | Other urban / built-up land | vegetation_tree,200,4,1,1,0.02,20260715,spatially_thinned_stratified_pseudorandom
luhk_surface_cover,71 | Woodland / shrubland / grassland / wetland | concrete_pavement,5,2,1,1,0.4,20260715,spatially_thinned_stratified_pseudorandom
luhk_surface_cover,71 | Woodland / shrubland / grassland / wetland | roof,365,15,2,2,0.0410958904109589,20260715,spatially_thinned_stratified_pseudorandom
luhk_surface_cover,71 | Woodland / shrubland / grassland / wetland | vegetation_tree,75704,1338,4,4,0.017674099122899713,20260715,spatially_thinned_stratified_pseudorandom
luhk_surface_cover,72 | Woodland / shrubland / grassland / wetland | concrete_pavement,60,6,1,1,0.1,20260715,spatially_thinned_stratified_pseudorandom
luhk_surface_cover,72 | Woodland / shrubland / grassland / wetland | roof,104,7,1,1,0.0673076923076923,20260715,spatially_thinned_stratified_pseudorandom
luhk_surface_cover,72 | Woodland / shrubland / grassland / wetland | vegetation_tree,31244,609,1,1,0.019491742414543593,20260715,spatially_thinned_stratified_pseudorandom
luhk_surface_cover,73 | Woodland / shrubland / grassland / wetland | vegetation_tree,7253,150,2,2,0.020681097476906107,20260715,spatially_thinned_stratified_pseudorandom
surface_cover,bare_soil,10222,221,2,2,0.021620035218156915,20260715,spatially_thinned_stratified_pseudorandom
surface_cover,concrete_pavement,322856,6677,5,5,0.020681046658572243,20260715,spatially_thinned_stratified_pseudorandom
surface_cover,grass_low_vegetation,39392,770,5,5,0.019547116165718928,20260715,spatially_thinned_stratified_pseudorandom
surface_cover,roof,569601,9406,5,5,0.016513313705558804,20260715,spatially_thinned_stratified_pseudorandom
surface_cover,vegetation_tree,696329,10000,5,5,0.014361027617692212,20260715,spatially_thinned_stratified_pseudorandom
surface_cover_shadow,bare_soil | shadow=0,10222,221,2,2,0.021620035218156915,20260715,spatially_thinned_stratified_pseudorandom
surface_cover_shadow,concrete_pavement | shadow=0,322856,6677,5,5,0.020681046658572243,20260715,spatially_thinned_stratified_pseudorandom
surface_cover_shadow,grass_low_vegetation | shadow=0,39392,770,5,5,0.019547116165718928,20260715,spatially_thinned_stratified_pseudorandom
surface_cover_shadow,roof | shadow=0,569601,9406,5,5,0.016513313705558804,20260715,spatially_thinned_stratified_pseudorandom
surface_cover_shadow,vegetation_tree | shadow=0,696329,10000,5,5,0.014361027617692212,20260715,spatially_thinned_stratified_pseudorandom
