analysis_family,record_type,sampling_seed,is_primary_seed,group_a,group_b,sampled_n_a,sampled_n_b,sampled_mean_a,sampled_mean_b,sampled_median_a,sampled_median_b,q25_a,q75_a,pairwise_mean_difference,pairwise_median_difference,effect_size_rank_biserial,sign_agreement_mean_fraction,sign_agreement_median_fraction,sign_agreement_effect_fraction,stability_status
luhk,group,20260715,True,31 | GIC / open space,,10000,,5.680811554574967,,3.901422500610352,,1.8290319442749023,9.050159454345703,,,,,,,group_distribution_record
luhk,group,20260715,True,51 | Other urban / built-up land,,4,,3.636651992797852,,3.335916519165039,,3.1093692779541016,3.863199234008789,,,,,,,group_distribution_record
luhk,group,20260715,True,71 | Woodland / shrubland / grassland / wetland,,1346,,2.311179603191223,,2.089929580688477,,1.1821537017822266,3.169699192047119,,,,,,,group_distribution_record
luhk,group,20260715,True,72 | Woodland / shrubland / grassland / wetland,,613,,2.009650228851965,,1.5606327056884766,,0.8035526275634766,2.845392227172852,,,,,,,group_distribution_record
luhk,group,20260715,True,73 | Woodland / shrubland / grassland / wetland,,150,,1.5283211008707682,,1.068643569946289,,0.5762577056884766,2.5432071685791016,,,,,,,group_distribution_record
luhk,pair,20260715,True,31 | GIC / open space,51 | Other urban / built-up land,10000,4.0,5.680811554574967,3.636651992797852,3.901422500610352,3.335916519165039,1.8290319442749023,9.050159454345703,2.044159561777115,0.5655059814453125,0.07895,0.85,0.4,0.25,insufficient_coverage_for_conclusion
luhk,pair,20260715,True,31 | GIC / open space,71 | Woodland / shrubland / grassland / wetland,10000,1346.0,5.680811554574967,2.311179603191223,3.901422500610352,2.089929580688477,1.8290319442749023,9.050159454345703,3.369631951383744,1.811492919921875,0.3875124814264488,1.0,1.0,1.0,stable_sign_across_seeds
luhk,pair,20260715,True,31 | GIC / open space,72 | Woodland / shrubland / grassland / wetland,10000,613.0,5.680811554574967,2.009650228851965,3.901422500610352,1.5606327056884766,1.8290319442749023,9.050159454345703,3.671161325723001,2.340789794921875,0.4612169657422511,1.0,1.0,1.0,insufficient_coverage_for_conclusion
luhk,pair,20260715,True,31 | GIC / open space,73 | Woodland / shrubland / grassland / wetland,10000,150.0,5.680811554574967,1.5283211008707682,3.901422500610352,1.068643569946289,1.8290319442749023,9.050159454345703,4.152490453704198,2.8327789306640625,0.548144,1.0,1.0,1.0,stable_sign_across_seeds
luhk,pair,20260715,True,51 | Other urban / built-up land,71 | Woodland / shrubland / grassland / wetland,4,1346.0,3.636651992797852,2.311179603191223,3.335916519165039,2.089929580688477,3.1093692779541016,3.863199234008789,1.3254723896066287,1.2459869384765625,0.5713224368499257,1.0,1.0,1.0,insufficient_coverage_for_conclusion
luhk,pair,20260715,True,51 | Other urban / built-up land,72 | Woodland / shrubland / grassland / wetland,4,613.0,3.636651992797852,2.009650228851965,3.335916519165039,1.5606327056884766,3.1093692779541016,3.863199234008789,1.627001763945886,1.7752838134765625,0.651305057096248,1.0,1.0,1.0,insufficient_coverage_for_conclusion
luhk,pair,20260715,True,51 | Other urban / built-up land,73 | Woodland / shrubland / grassland / wetland,4,150.0,3.636651992797852,1.5283211008707682,3.335916519165039,1.068643569946289,3.1093692779541016,3.863199234008789,2.108330891927084,2.26727294921875,0.7866666666666666,1.0,1.0,1.0,insufficient_coverage_for_conclusion
luhk,pair,20260715,True,71 | Woodland / shrubland / grassland / wetland,72 | Woodland / shrubland / grassland / wetland,1346,613.0,2.311179603191223,2.009650228851965,2.089929580688477,1.5606327056884766,1.1821537017822266,3.169699192047119,0.3015293743392573,0.529296875,0.153621751597992,1.0,1.0,1.0,insufficient_coverage_for_conclusion
luhk,pair,20260715,True,71 | Woodland / shrubland / grassland / wetland,73 | Woodland / shrubland / grassland / wetland,1346,150.0,2.311179603191223,1.5283211008707682,2.089929580688477,1.068643569946289,1.1821537017822266,3.169699192047119,0.7828585023204546,1.0212860107421875,0.3031797919762258,1.0,1.0,1.0,stable_sign_across_seeds
luhk,pair,20260715,True,72 | Woodland / shrubland / grassland / wetland,73 | Woodland / shrubland / grassland / wetland,613,150.0,2.009650228851965,1.5283211008707682,1.5606327056884766,1.068643569946289,0.8035526275634766,2.845392227172852,0.4813291279811973,0.4919891357421875,0.150657966286025,1.0,1.0,1.0,insufficient_coverage_for_conclusion
luhk,group,20260716,False,31 | GIC / open space,,10000,,5.590005573320389,,3.826074600219727,,1.8631534576416016,8.557672500610352,,,,,,,group_distribution_record
luhk,group,20260716,False,51 | Other urban / built-up land,,4,,4.051210403442383,,3.7128849029541016,,3.467721939086914,4.29637336730957,,,,,,,group_distribution_record
luhk,group,20260716,False,71 | Woodland / shrubland / grassland / wetland,,1346,,2.289460428756555,,2.089929580688477,,1.1821537017822266,3.1472415924072266,,,,,,,group_distribution_record
luhk,group,20260716,False,72 | Woodland / shrubland / grassland / wetland,,613,,1.959187845226991,,1.5606327056884766,,0.7278079986572266,2.7699222564697266,,,,,,,group_distribution_record
luhk,group,20260716,False,73 | Woodland / shrubland / grassland / wetland,,150,,1.5157511138916016,,1.1065311431884766,,0.6520328521728516,2.3808398246765137,,,,,,,group_distribution_record
luhk,pair,20260716,False,31 | GIC / open space,51 | Other urban / built-up land,10000,4.0,5.590005573320389,4.051210403442383,3.826074600219727,3.7128849029541016,1.8631534576416016,8.557672500610352,1.5387951698780062,0.113189697265625,-0.01875,0.85,0.4,0.25,insufficient_coverage_for_conclusion
luhk,pair,20260716,False,31 | GIC / open space,71 | Woodland / shrubland / grassland / wetland,10000,1346.0,5.590005573320389,2.289460428756555,3.826074600219727,2.089929580688477,1.8631534576416016,8.557672500610352,3.300545144563834,1.73614501953125,0.3888716196136701,1.0,1.0,1.0,stable_sign_across_seeds
luhk,pair,20260716,False,31 | GIC / open space,72 | Woodland / shrubland / grassland / wetland,10000,613.0,5.590005573320389,1.959187845226991,3.826074600219727,1.5606327056884766,1.8631534576416016,8.557672500610352,3.630817728093398,2.26544189453125,0.4708205546492658,1.0,1.0,1.0,insufficient_coverage_for_conclusion
luhk,pair,20260716,False,31 | GIC / open space,73 | Woodland / shrubland / grassland / wetland,10000,150.0,5.590005573320389,1.5157511138916016,3.826074600219727,1.1065311431884766,1.8631534576416016,8.557672500610352,4.074254459428787,2.71954345703125,0.5553999999999999,1.0,1.0,1.0,stable_sign_across_seeds
luhk,pair,20260716,False,51 | Other urban / built-up land,71 | Woodland / shrubland / grassland / wetland,4,1346.0,4.051210403442383,2.289460428756555,3.7128849029541016,2.089929580688477,3.467721939086914,4.29637336730957,1.7617499746858276,1.622955322265625,0.7044947994056463,1.0,1.0,1.0,insufficient_coverage_for_conclusion
luhk,pair,20260716,False,51 | Other urban / built-up land,72 | Woodland / shrubland / grassland / wetland,4,613.0,4.051210403442383,1.959187845226991,3.7128849029541016,1.5606327056884766,3.467721939086914,4.29637336730957,2.092022558215392,2.152252197265625,0.7618270799347471,1.0,1.0,1.0,insufficient_coverage_for_conclusion
luhk,pair,20260716,False,51 | Other urban / built-up land,73 | Woodland / shrubland / grassland / wetland,4,150.0,4.051210403442383,1.5157511138916016,3.7128849029541016,1.1065311431884766,3.467721939086914,4.29637336730957,2.535459289550781,2.606353759765625,0.8899999999999999,1.0,1.0,1.0,insufficient_coverage_for_conclusion
luhk,pair,20260716,False,71 | Woodland / shrubland / grassland / wetland,72 | Woodland / shrubland / grassland / wetland,1346,613.0,2.289460428756555,1.959187845226991,2.089929580688477,1.5606327056884766,1.1821537017822266,3.1472415924072266,0.3302725835295641,0.529296875,0.1639381018981986,1.0,1.0,1.0,insufficient_coverage_for_conclusion
luhk,pair,20260716,False,71 | Woodland / shrubland / grassland / wetland,73 | Woodland / shrubland / grassland / wetland,1346,150.0,2.289460428756555,1.5157511138916016,2.089929580688477,1.1065311431884766,1.1821537017822266,3.1472415924072266,0.7737093148649536,0.9833984375,0.3082367508667658,1.0,1.0,1.0,stable_sign_across_seeds
luhk,pair,20260716,False,72 | Woodland / shrubland / grassland / wetland,73 | Woodland / shrubland / grassland / wetland,613,150.0,1.959187845226991,1.5157511138916016,1.5606327056884766,1.1065311431884766,0.7278079986572266,2.7699222564697266,0.4434367313353895,0.4541015625,0.1456769983686785,1.0,1.0,1.0,insufficient_coverage_for_conclusion
luhk,group,20260717,False,31 | GIC / open space,,10000,,5.606384887886048,,3.870685577392578,,1.8631534576416016,8.900135040283203,,,,,,,group_distribution_record
luhk,group,20260717,False,51 | Other urban / built-up land,,4,,4.315126419067383,,4.014398574829102,,3.731790542602539,4.597734451293945,,,,,,,group_distribution_record
luhk,group,20260717,False,71 | Woodland / shrubland / grassland / wetland,,1346,,2.264995171092063,,2.014337539672852,,1.1821537017822266,3.0718021392822266,,,,,,,group_distribution_record
luhk,group,20260717,False,72 | Woodland / shrubland / grassland / wetland,,613,,1.9490055283364425,,1.5606327056884766,,0.8035526275634766,2.694421768188477,,,,,,,group_distribution_record
luhk,group,20260717,False,73 | Woodland / shrubland / grassland / wetland,,150,,1.5061256663004556,,1.0307559967041016,,0.5762577056884766,2.3808398246765137,,,,,,,group_distribution_record
luhk,pair,20260717,False,31 | GIC / open space,51 | Other urban / built-up land,10000,4.0,5.606384887886048,4.315126419067383,3.870685577392578,4.014398574829102,1.8631534576416016,8.900135040283203,1.2912584688186648,-0.1437129974365234,-0.05935,0.85,0.4,0.25,insufficient_coverage_for_conclusion
luhk,pair,20260717,False,31 | GIC / open space,71 | Woodland / shrubland / grassland / wetland,10000,1346.0,5.606384887886048,2.264995171092063,3.870685577392578,2.014337539672852,1.8631534576416016,8.900135040283203,3.341389716793985,1.8563480377197263,0.3987110698365528,1.0,1.0,1.0,stable_sign_across_seeds
luhk,pair,20260717,False,31 | GIC / open space,72 | Woodland / shrubland / grassland / wetland,10000,613.0,5.606384887886048,1.9490055283364425,3.870685577392578,1.5606327056884766,1.8631534576416016,8.900135040283203,3.657379359549605,2.3100528717041016,0.4741535073409462,1.0,1.0,1.0,insufficient_coverage_for_conclusion
luhk,pair,20260717,False,31 | GIC / open space,73 | Woodland / shrubland / grassland / wetland,10000,150.0,5.606384887886048,1.5061256663004556,3.870685577392578,1.0307559967041016,1.8631534576416016,8.900135040283203,4.100259221585592,2.839929580688477,0.5565506666666666,1.0,1.0,1.0,stable_sign_across_seeds
