observation_id,analysis_variant,image_id,cell_id,physical_surface_cover_class_id,physical_surface_cover_class,exclusion_reason,class_pixel_count,class_valid_temperature_count,class_fraction_of_valid_classified_pixels
DJI_20260107143259_0005__LUHK_r02565_c04517__cover_2,all_finite,DJI_20260107143259_0005,LUHK_r02565_c04517,2,concrete_pavement,below_minimum_valid_pixels_and_class_fraction,4,4,0.0064
DJI_20260107143259_0005__LUHK_r02566_c04517__cover_4,all_finite,DJI_20260107143259_0005,LUHK_r02566_c04517,4,vegetation_tree,below_minimum_valid_pixels_and_class_fraction,1,1,0.001667
DJI_20260107143259_0005__LUHK_r02567_c04508__cover_2,all_finite,DJI_20260107143259_0005,LUHK_r02567_c04508,2,concrete_pavement,below_minimum_valid_pixels_and_class_fraction,5,5,0.008
DJI_20260107143259_0005__LUHK_r02567_c04511__cover_4,all_finite,DJI_20260107143259_0005,LUHK_r02567_c04511,4,vegetation_tree,below_minimum_valid_pixels_and_class_fraction,1,1,0.0016
DJI_20260107143259_0005__LUHK_r02567_c04519__cover_1,all_finite,DJI_20260107143259_0005,LUHK_r02567_c04519,1,roof,below_minimum_valid_pixels_and_class_fraction,4,4,0.0064
DJI_20260107143259_0005__LUHK_r02570_c04518__cover_5,all_finite,DJI_20260107143259_0005,LUHK_r02570_c04518,5,grass_low_vegetation,below_minimum_valid_pixels_and_class_fraction,3,3,0.005
DJI_20260107143259_0005__LUHK_r02570_c04520__cover_1,all_finite,DJI_20260107143259_0005,LUHK_r02570_c04520,1,roof,below_minimum_valid_pixels_and_class_fraction,1,1,0.0016
DJI_20260107143259_0005__LUHK_r02570_c04526__cover_1,all_finite,DJI_20260107143259_0005,LUHK_r02570_c04526,1,roof,below_minimum_valid_pixels_and_class_fraction,6,6,0.0096
DJI_20260107143259_0005__LUHK_r02571_c04528__cover_4,all_finite,DJI_20260107143259_0005,LUHK_r02571_c04528,4,vegetation_tree,below_minimum_valid_pixels_and_class_fraction,5,5,0.008
DJI_20260107143259_0005__LUHK_r02575_c04516__cover_2,all_finite,DJI_20260107143259_0005,LUHK_r02575_c04516,2,concrete_pavement,below_minimum_valid_pixels_and_class_fraction,2,2,0.003333
DJI_20260107143259_0005__LUHK_r02576_c04515__cover_4,all_finite,DJI_20260107143259_0005,LUHK_r02576_c04515,4,vegetation_tree,below_minimum_valid_pixels_and_class_fraction,2,2,0.009259
DJI_20260107143259_0005__LUHK_r02576_c04516__cover_2,all_finite,DJI_20260107143259_0005,LUHK_r02576_c04516,2,concrete_pavement,below_minimum_valid_pixels_and_class_fraction,1,1,0.004444
DJI_20260107143320_0007__LUHK_r02570_c04513__cover_4,all_finite,DJI_20260107143320_0007,LUHK_r02570_c04513,4,vegetation_tree,below_minimum_valid_pixels_and_class_fraction,4,4,0.009412
DJI_20260107143320_0007__LUHK_r02572_c04512__cover_2,all_finite,DJI_20260107143320_0007,LUHK_r02572_c04512,2,concrete_pavement,below_minimum_valid_pixels_and_class_fraction,2,2,0.003472
DJI_20260107143320_0007__LUHK_r02572_c04519__cover_6,all_finite,DJI_20260107143320_0007,LUHK_r02572_c04519,6,bare_soil,below_minimum_valid_pixels_and_class_fraction,1,1,0.001667
DJI_20260107143320_0007__LUHK_r02572_c04521__cover_5,all_finite,DJI_20260107143320_0007,LUHK_r02572_c04521,5,grass_low_vegetation,below_minimum_valid_pixels_and_class_fraction,3,3,0.005
DJI_20260107143320_0007__LUHK_r02575_c04522__cover_6,all_finite,DJI_20260107143320_0007,LUHK_r02575_c04522,6,bare_soil,below_minimum_valid_pixels_and_class_fraction,1,1,0.001736
DJI_20260107143320_0007__LUHK_r02575_c04528__cover_1,all_finite,DJI_20260107143320_0007,LUHK_r02575_c04528,1,roof,below_minimum_valid_pixels_and_class_fraction,1,1,0.001736
DJI_20260107143320_0007__LUHK_r02576_c04521__cover_6,all_finite,DJI_20260107143320_0007,LUHK_r02576_c04521,6,bare_soil,below_minimum_valid_pixels_and_class_fraction,5,5,0.008
DJI_20260107143320_0007__LUHK_r02578_c04504__cover_5,all_finite,DJI_20260107143320_0007,LUHK_r02578_c04504,5,grass_low_vegetation,below_minimum_valid_pixels_and_class_fraction,1,1,0.002
DJI_20260107143320_0007__LUHK_r02578_c04505__cover_2,all_finite,DJI_20260107143320_0007,LUHK_r02578_c04505,2,concrete_pavement,below_minimum_valid_pixels_and_class_fraction,2,2,0.0032
DJI_20260107143320_0007__LUHK_r02578_c04526__cover_5,all_finite,DJI_20260107143320_0007,LUHK_r02578_c04526,5,grass_low_vegetation,below_minimum_valid_pixels_and_class_fraction,3,3,0.0048
DJI_20260107143320_0007__LUHK_r02579_c04504__cover_5,all_finite,DJI_20260107143320_0007,LUHK_r02579_c04504,5,grass_low_vegetation,below_minimum_valid_pixels_and_class_fraction,2,2,0.004
DJI_20260107143320_0007__LUHK_r02579_c04522__cover_6,all_finite,DJI_20260107143320_0007,LUHK_r02579_c04522,6,bare_soil,below_minimum_valid_pixels_and_class_fraction,3,3,0.005
