observation_id,primary_key,analysis_variant,image_id,flight_id,pair_id,acquisition_datetime,cell_id,luhk_row,luhk_col,cell_center_x_2326,cell_center_y_2326,luhk_original_code,luhk_original_class,luhk_aggregated_class,physical_surface_cover_class_id,physical_surface_cover_class,class_pixel_count,valid_classified_pixel_count_in_cell,class_fraction_of_valid_classified_pixels,class_thermal_pixel_count,class_valid_temperature_count,class_temperature_coverage_fraction,class_mean_surface_temperature_c,class_median_surface_temperature_c,class_std_surface_temperature_c,class_min_surface_temperature_c,class_max_surface_temperature_c,class_below_0_c_pixel_count,class_below_0_c_pixel_fraction,class_below_minus_5_c_pixel_count,class_below_minus_5_c_pixel_fraction,class_below_minus_10_c_pixel_count,class_below_minus_10_c_pixel_fraction,class_shadow_pixel_count,class_shadow_fraction,ambient_temperature_c,ambient_source,ambient_source_id,ambient_observation_datetime,ambient_time_difference_minutes,ambient_matching_method,ambient_qa_status,class_delta_t_mean_c,class_delta_t_median_c,part_c_qa_status,part_d_qa_status,provisional_result_flag,provisional_result_note,analysis_valid,exclusion_reason,qa_warning_flag
DJI_20260107143259_0005__LUHK_r02555_c04504__cover_4,DJI_20260107143259_0005__LUHK_r02555_c04504__cover_4,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04504,2555,4504,845045.0,822445.0,71,71,Woodland / shrubland / grassland / wetland,4,vegetation_tree,150,150,1.0,150,150,1.0,11.653231,11.586206,0.824424,10.191156,13.568628,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,0.653231,0.586206,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
DJI_20260107143259_0005__LUHK_r02555_c04505__cover_4,DJI_20260107143259_0005__LUHK_r02555_c04505__cover_4,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04505,2555,4505,845055.0,822445.0,71,71,Woodland / shrubland / grassland / wetland,4,vegetation_tree,250,250,1.0,250,250,1.0,10.227372,10.04571,0.448569,9.678156,12.466303,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,-0.772628,-0.95429,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
DJI_20260107143259_0005__LUHK_r02555_c04506__cover_4,DJI_20260107143259_0005__LUHK_r02555_c04506__cover_4,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04506,2555,4506,845065.0,822445.0,71,71,Woodland / shrubland / grassland / wetland,4,vegetation_tree,240,240,1.0,240,240,1.0,10.609975,10.338861,0.730846,9.824701,13.274225,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,-0.390025,-0.661139,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
DJI_20260107143259_0005__LUHK_r02555_c04507__cover_4,DJI_20260107143259_0005__LUHK_r02555_c04507__cover_4,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04507,2555,4507,845075.0,822445.0,71,71,Woodland / shrubland / grassland / wetland,4,vegetation_tree,250,250,1.0,250,250,1.0,11.069518,10.961939,0.74078,9.752619,13.274225,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,0.069518,-0.038061,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
DJI_20260107143259_0005__LUHK_r02555_c04508__cover_4,DJI_20260107143259_0005__LUHK_r02555_c04508__cover_4,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04508,2555,4508,845085.0,822445.0,71,71,Woodland / shrubland / grassland / wetland,4,vegetation_tree,250,250,1.0,250,250,1.0,11.587932,11.512873,0.666963,10.412165,13.054132,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,0.587932,0.512873,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
DJI_20260107143259_0005__LUHK_r02555_c04509__cover_4,DJI_20260107143259_0005__LUHK_r02555_c04509__cover_4,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04509,2555,4509,845095.0,822445.0,71,71,Woodland / shrubland / grassland / wetland,4,vegetation_tree,240,240,1.0,240,240,1.0,11.290653,10.925287,1.097275,9.899164,14.743769,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,0.290653,-0.074713,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
DJI_20260107143259_0005__LUHK_r02555_c04510__cover_4,DJI_20260107143259_0005__LUHK_r02555_c04510__cover_4,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04510,2555,4510,845105.0,822445.0,71,71,Woodland / shrubland / grassland / wetland,4,vegetation_tree,250,250,1.0,250,250,1.0,11.756605,11.622873,1.12801,10.04571,14.817957,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,0.756605,0.622873,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
DJI_20260107143259_0005__LUHK_r02555_c04511__cover_4,DJI_20260107143259_0005__LUHK_r02555_c04511__cover_4,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04511,2555,4511,845115.0,822445.0,71,71,Woodland / shrubland / grassland / wetland,4,vegetation_tree,250,250,1.0,250,250,1.0,10.825377,10.558741,0.753577,9.899164,13.421869,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,-0.174623,-0.441259,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
DJI_20260107143259_0005__LUHK_r02555_c04512__cover_4,DJI_20260107143259_0005__LUHK_r02555_c04512__cover_4,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04512,2555,4512,845125.0,822445.0,71,71,Woodland / shrubland / grassland / wetland,4,vegetation_tree,240,240,1.0,240,240,1.0,10.772278,10.558741,0.725433,9.678156,13.054132,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,-0.227722,-0.441259,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
DJI_20260107143259_0005__LUHK_r02555_c04513__cover_4,DJI_20260107143259_0005__LUHK_r02555_c04513__cover_4,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04513,2555,4513,845135.0,822445.0,71,71,Woodland / shrubland / grassland / wetland,4,vegetation_tree,250,250,1.0,250,250,1.0,9.763633,9.752619,0.266242,9.23855,10.706446,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,-1.236367,-1.247381,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
